fiscal_year,month,month_numeric,data_from_table,only_nse_no_of_issues,only_nse_amount_cr,only_bse_no_of_issues,only_bse_amount_cr,both_nse_and_bse_no_of_issues,both_nse_and_bse_amount_cr,total_no_of_issues,total_amount_cr,released_on,updated_on,data_source,data_url
2021-22,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,3199.98,2,3199.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,2685.53,2,2685.53,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,1210,3,1210,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,5617,3,5617,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,705.7,2,705.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,1952,2,1952,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,2079,2,2079,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,959,2,959,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,50,1,50,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,2000,1,2000,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,606.9,3,606.9,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,500,1,500,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,3597,2,3597,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
