fiscal_year,month,month_numeric,data_from_table,open_offers_objectives_change_in_control_of_management_no,open_offers_objectives_change_in_control_of_management_amount_cr,open_offers_objectives_consolidation_of_holdings_no,open_offers_objectives_consolidation_of_holdings_amount_cr,open_offers_objectives_substantial_acquisition_no,open_offers_objectives_substantial_acquisition_amount_cr,open_offers_objectives_total_no,open_offers_objectives_total_amount_cr,released_on,updated_on,data_source,data_url
2019-20,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,12,1502.41,0,0,0,0,12,1502.41,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,4,12.77,0,0,0,0,4,12.77,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,1,0.83,1,8.64,1,0.76,3,10.23,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,1,326.11,1,19.29,1,3.62,3,349.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,3,5078.96,0,0,0,0,3,5078.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,1,20.44,0,0,0,0,1,20.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,7,465.13,0,0,0,0,7,465.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,2,1.36,1,2.36,0,0,3,3.72,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,4,1088.11,0,0,0,0,4,1088.11,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,2,528.16,0,0,0,0,2,528.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,7,3852.44,1,7.51,1,1.72,9,3861.67,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,5,3008.03,0,0,1,2.36,6,3010.3900000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,6,480.5,0,0,0,0,6,480.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,2,19.35,0,0,2,28.14,4,47.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,2,103,0,0,3,46.15,5,149.15,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,4,17.04,0,0,1,194.14,5,211.17999999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,1,62.1,1,363.66,1,14.27,3,440.03000000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
