year,index_name,country,per_value,pbr_value,dividend_yield_value,data_from_table,released_on,updated_on,data_source,data_url
2017,Taiex - Taiwan Weighted,Taiwan,14.55652,1.84347,3.75696,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Taiex - Taiwan Weighted,Taiwan,11.86937,1.58836,4.54051,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Taiex - Taiwan Weighted,Taiwan,18.27274,1.9046,3.72915,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Taiex - Taiwan Weighted,Taiwan,20.10425,2.24015,2.82088,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Taiex - Taiwan Weighted,Taiwan,13.27671,2.61688,2.57652,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Taiex - Taiwan Weighted,Taiwan,9.75402,1.81434,4.98123,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Taiex - Taiwan Weighted,Taiwan,17.72767,3.46757,2.671,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Taiex - Taiwan Weighted,Taiwan,22.41576,4.44285,2.06383,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Taiex - Taiwan Weighted,Taiwan,17.30026,3.01696,2.46838,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Ftse Uk - All Share,United Kingdom,11.76304,1.90658,3.89082,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Ftse Uk - All Share,United Kingdom,17.77805,1.69812,4.01985,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Ftse Uk - All Share,United Kingdom,17.216,1.64799,4.292,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Ftse Uk - All Share,United Kingdom,25.14257,1.73999,3.8332,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Ftse Uk - All Share,United Kingdom,20.81552,1.93183,3.69142,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Ftse Uk - All Share,United Kingdom,11.00164,1.43494,4.79545,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Ftse Uk - All Share,United Kingdom,15.82391,1.6567,4.45888,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Ftse Uk - All Share,United Kingdom,17.04072,1.57803,3.32405,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Ftse Uk - All Share,United Kingdom,15.29099,1.82368,3.42715,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Ftse Uk - All Share,United Kingdom,11.10534,1.56651,3.86008,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Ftse Uk - All Share,United Kingdom,10.25913,1.63089,3.81949,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Ftse Uk - All Share,United Kingdom,15.62749,1.68768,3.74625,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Ftse Uk - All Share,United Kingdom,16.37127,1.78935,3.56866,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Euronext Cac 40,France,18.14406,1.43736,3.17466,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Euronext Cac 40,France,16.18875,1.4089,3.35087,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Euronext Cac 40,France,17.41354,1.4892,3.27126,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Euronext Cac 40,France,17.14655,1.50549,3.57519,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Euronext Cac 40,France,16.41111,1.62633,3.01125,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Euronext Cac 40,France,13.92888,1.44782,3.693,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Euronext Cac 40,France,19.67321,1.75682,3.06596,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Euronext Cac 40,France,22.36246,1.62325,1.96134,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Euronext Cac 40,France,19.30309,2.09838,2.1441,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Euronext Cac 40,France,10.60275,1.67188,3.19324,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Euronext Cac 40,France,13.82734,1.8726,2.98795,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Euronext Cac 40,France,15.69946,1.81409,3.23529,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Euronext Cac 40,France,16.85047,1.83909,3.16642,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Db - Dax 30,Germany,15.88283,1.75886,2.76999,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Db - Dax 30,Germany,14.68308,1.76601,2.75474,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Db - Dax 30,Germany,15.82511,1.74713,2.78661,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Db - Dax 30,Germany,14.98972,1.71966,2.69765,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Db - Dax 30,Germany,16.02692,1.81395,2.64348,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Db - Dax 30,Germany,10.79484,1.44106,3.45868,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Db - Dax 30,Germany,17.80456,1.62603,2.99733,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Db - Dax 30,Germany,24.65432,1.57114,2.57532,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Db - Dax 30,Germany,14.92138,1.90917,2.17168,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Db - Dax 30,Germany,13.04586,1.38972,3.66263,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Db - Dax 30,Germany,12.66195,1.46983,3.22196,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Db - Dax 30,Germany,16.76906,1.65403,2.79765,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Db - Dax 30,Germany,17.39812,1.84686,2.55463,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Ftse Mib,United Kingdom,19.74547,0.94695,3.28485,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Ftse Mib,United Kingdom,15.42782,1.0438,3.35046,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Ftse Mib,United Kingdom,22.49855,1.11609,3.15683,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Ftse Mib,United Kingdom,14.46314,0.95863,4.00093,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Ftse Mib,United Kingdom,14.31604,1.29625,3.18335,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Ftse Mib,United Kingdom,9.35882,0.97979,4.71727,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Ftse Mib,United Kingdom,11.84385,1.27696,3.91614,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Ftse Mib,United Kingdom,15.1787,1.19223,2.34312,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Ftse Mib,United Kingdom,14.80968,1.51611,2.79953,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Ftse Mib,United Kingdom,8.24511,1.12716,4.76127,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Ftse Mib,United Kingdom,6.36523,1.32794,4.4449,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Ftse Mib,United Kingdom,9.20141,1.32178,5.08355,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Ftse Mib,United Kingdom,11.09499,1.45812,4.95951,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Moex,Russia,5.76512,0.79583,3.45378,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Moex,Russia,5.7841,0.5946,5.41696,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Moex,Russia,8.77538,0.67125,4.77039,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Moex,Russia,8.88955,0.85322,3.92751,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Moex,Russia,7.11354,0.7869,5.28745,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Moex,Russia,5.75057,0.88075,6.35813,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Moex,Russia,6.51773,1.04082,6.84555,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Moex,Russia,13.11293,1.02884,6.0439,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Moex,Russia,6.17011,1.18595,6.5624,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Moex,Russia,,,,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Moex,Russia,,,,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Moex,Russia,,,,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Moex,Russia,,,,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Ftse Jse 40,South Africa,16.36228,1.26461,2.92719,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Ftse Jse 40,South Africa,16.03177,1.22128,3.1575,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Ftse Jse 40,South Africa,15.90096,1.0208,4.06712,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Ftse Jse 40,South Africa,17.54317,1.03806,2.95705,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Ftse Jse 40,South Africa,16.52988,1.28426,2.80089,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Ftse Jse 40,South Africa,9.7287,1.01717,3.6864,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Ftse Jse 40,South Africa,14.50168,1.06536,3.87572,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Ftse Jse 40,South Africa,16.65502,1.51838,2.82289,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Ftse Jse 40,South Africa,9.85153,1.6663,4.10123,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Ftse Jse 40,South Africa,8.75173,1.03245,4.2819,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Ftse Jse 40,South Africa,10.60878,1.4974,4.51762,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Ftse Jse 40,South Africa,12.4979,1.65557,3.82697,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Ftse Jse 40,South Africa,12.05833,1.75773,3.71706,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Ibex 35,Spain,16.9025,1.46719,4.38945,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Ibex 35,Spain,19.06237,1.5398,5.9432,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Ibex 35,Spain,14.51337,1.41646,4.28097,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016,Ibex 35,Spain,17.0958,1.35885,4.15977,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017,Ibex 35,Spain,14.69839,1.49078,4.14525,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Ibex 35,Spain,11.62949,1.218,4.56281,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Ibex 35,Spain,13.26345,1.35009,4.23364,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Ibex 35,Spain,22.15548,1.13629,4.1676,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Ibex 35,Spain,8.66111,1.45772,2.92841,PE Ratio PB Ratio and Dividend Yield of Major International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
