fiscal_year,month,month_numeric,data_from_table,bse_advances,bse_declines,bse_advance_decline_ratio,nse_advances,nse_declines,nse_advance_decline_ratio,msei_advances,msei_declines,msei_advance_decline_ratio,released_on,updated_on,data_source,data_url
2020-21,August,8,Table 25: Advances/Declines in Equity Cash Segment,2322,1232,1.8847402597402598,1457,496,2.9375,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 25: Advances/Declines in Equity Cash Segment,1727,1821,0.9483800109829764,899,1056,0.8513257575757576,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 25: Advances/Declines in Equity Cash Segment,1419,2095,0.677326968973747,777,1189,0.6534903280067283,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 25: Advances/Declines in Equity Cash Segment,2055,1437,1.430062630480167,1294,674,1.9198813056379822,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 25: Advances/Declines in Equity Cash Segment,2899,684,4.238304093567251,1752,218,8.036697247706423,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 25: Advances/Declines in Equity Cash Segment,2345,818,2.866748166,1504,479,3.14,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 25: Advances/Declines in Equity Cash Segment,1701,1447,1.175535591,963,1042,0.92,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 25: Advances/Declines in Equity Cash Segment,1859,1830,1.015846995,1026,981,1.05,0,2,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 25: Advances/Declines in Equity Cash Segment,1507,2198,0.685623294,814,1208,0.67,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 25: Advances/Declines in Equity Cash Segment,2836,863,3.286210892,1678,349,4.81,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
