fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,reit_amount_inr_crore,invit_amount_inr_crore
2020-21,2021,February,2,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-02-01,565.98,766
2020-21,2021,March,3,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-03-01,555.63,532.57
2021-22,2021,April,4,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-04-01,10.41,66.52
2021-22,2021,May,5,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-05-01,11.66,73.5
2021-22,2021,June,6,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-06-01,12.45,72.65
2021-22,2021,July,7,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-07-01,12.45,64.22
2021-22,2021,August,8,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-08-01,17.42,64.16
2021-22,2021,September,9,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-09-01,27.3,43.86
2021-22,2021,October,10,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-10-01,30.16,38.65
2021-22,2021,November,11,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-11-01,31.67,38.37
2021-22,2021,December,12,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-12-01,33.17,38.62
2021-22,2022,January,1,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-01-01,33.55,42.64
2021-22,2022,February,2,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-02-01,34.74,36.84
2021-22,2022,March,3,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-03-01,35.8,44.75
2022-23,2022,April,4,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-04-01,35.79,44.75
2022-23,2022,May,5,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-05-01,36.78,45.01
2022-23,2022,June,6,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-06-01,15.11,43.13
2022-23,2022,July,7,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-07-01,2.69,44.81
2022-23,2022,August,8,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-08-01,0,83.88
2022-23,2022,September,9,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-09-01,0,79.42
2022-23,2022,October,10,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-10-01,0,74.82
2022-23,2022,November,11,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-11-01,0,60.04
