fiscal_year,month,month_numeric,data_from_table,investment_grade_highest_safety_aaa_no,investment_grade_highest_safety_aaa_amount_cr,investment_grade_high_safety_aa_no,investment_grade_high_safety_aa_amount_cr,investment_grade_adequate_safety_a_no,investment_grade_adequate_safety_a_amount_cr,investment_grade_moderate_safety_bbb_no,investment_grade_moderate_safety_bbb_amount_cr,non_investment_grade_no,non_investment_grade_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2014-15,September,9,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),27,96146.91,53,61252.08,31,5461.6,30,2385.02,126,5058.07,267,170303.68,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),20,47088.61,23,15943.02,17,5776.52,11,579.8100000000001,7,278.23,78,69666.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),16,48799.39,34,11985.65,18,2515.31,19,894.5,9,353.8,96,64548.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),10,12844.43,41,28257.64,15,6054.99,19,1190.57,14,1398.82,99,49746.45,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),6,8800,3,2100,3,235,0,0,2,548,14,11683,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),23,73616.21,35,26920.22,19,3366.97,15,3140.5299999999997,9,1881.7099999999998,101,108925.64000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),34,54413.6805,62,41274.7,55,7938.619999999999,55,1734.53,23,1921.88,229,107283.4105,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),15,314194.6,12,10928.68,8,1426.47,5,256.69,2,342,42,327148.43999999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,101682.36,22,10998.14,18,3480.64,8,208.13,7,1624.39,66,117993.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),15,104264.1,24,34502.1,21,5181.07,16,681.92,7,185.93,83,144815.12000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),15,44142.71,38,10998.14,30,5049.200000000001,11,1227.12,7,383.3,101,61800.47000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),12,31501,40,18633,24,7964.9,7,522.6700000000001,9,608.9399999999999,92,59230.51,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),25,170025.03,27,12342.970000000001,12,929.79,22,848.26,9,1140.3,95,185286.35,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,75887.58,24,10815,14,1147.15,7,379.5,9,1087,65,89316.23,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),7,8350,11,7956.27,5,503.23,1,30,5,776.92,29,17616.42,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),23,13455.26,28,15574.81,31,3551.3900000000003,27,266.35,18,44.11,127,32891.92,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),4,5137.56,20,9363.4,7,662.35,3,161.18,6,236,40,15560.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),19,102975.38,26,28313.17,27,6362.77,32,1086.14,11,1548.74,115,140286.19999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),21,59524.05,37,22647.93,17,4630.42,12,511.64,10,908.55,97,88222.59000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),20,299239.48,18,18407.3,10,1264.62,7,979.4000000000001,2,31.06,57,319921.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),17,116440,25,9290,25,2750.64,12,377.49,14,2346.31,93,131204.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),10,115571.3,26,10452.5,11,5360.99,10,748.75,4,540,61,132673.54,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),13,108974.32999999999,40,29746.7,14,2412.77,15,1041.31,11,352.19,93,142527.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),20,95710,27,26583.4,21,6528.91,15,1337.67,10,1389.05,93,131549.03,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),45,52887.41,42,31060.97,34,5931.530000000001,36,1379.08,24,1272.56,181,92531.55,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),22,99118.24,22,22026.72,23,4371.67,12,390.96,9,903,88,126810.59000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),16,31793.239999999998,40,26894,25,4614.34,11,692.99,11,2703.6,103,66698.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),22,58030.619999999995,35,38444.46,31,12648.22,21,897.63,12,1924.2800000000002,121,111945.20999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,78031.51,40,15137,21,3963.8199999999997,13,972.11,8,635.54,93,98739.97999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),15,26967.41,36,29805.9,25,6426.280000000001,5,682.1700000000001,6,286.9,87,64168.659999999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),33,226207.81,67,51792.09,12,4851.6900000000005,16,768.01,6,330,134,283949.60000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),26,331327.81999999995,44,37500.82,18,3446.0199999999995,8,437.71,9,788.32,105,373500.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),15,133934.05,29,45167.65,6,1365,5,363.65999999999997,9,1482.48,64,182312.84,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),28,150054.09999999998,48,27365,11,1532.25,13,1346.97,7,537.77,107,180836.08999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),23,123721.62999999999,56,37135.920000000006,19,2671.67,28,2049.1800000000003,6,175.34,132,165753.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),26,89618.06,29,28699,16,3847,14,351.68999999999994,7,936.3199999999999,92,123452.07,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),25,65474.329999999994,72,36089.9,12,1370.17,27,2364.9300000000003,8,436.32,144,105735.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),24,43216.25,54,38664.67,18,2386.17,12,1590.4099999999999,7,990.24,115,86847.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),22,39439.5,41,27406.03,30,15227.41,11,1164.5900000000001,3,600,107,83837.53,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),27,68589.9,40,22038.35,35,20855.65,36,2668.13,7,750.27,145,114902.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),22,110551.20999999999,25,39271.06,28,13926.400000000001,13,1073.25,4,341.17,92,165163.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),14,112970.87,47,28343.67,17,4605.34,20,2376.4,6,595.51,104,148891.78999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),28,327863.32999999996,53,41159.100000000006,112,33600.920000000006,29,484.4,15,3295.24,237,406402.98999999993,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,57615.95,13,11920.64,14,2216.91,13,4127.13,4,470,55,76350.23,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
