fiscal_year,month,month_numeric,data_from_table,investment_grade_highest_safety_aaa_no,investment_grade_highest_safety_aaa_amount_cr,investment_grade_high_safety_aa_no,investment_grade_high_safety_aa_amount_cr,investment_grade_adequate_safety_a_no,investment_grade_adequate_safety_a_amount_cr,investment_grade_moderate_safety_bbb_no,investment_grade_moderate_safety_bbb_amount_cr,non_investment_grade_no,non_investment_grade_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2021-22,December,12,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),30,72234.87,41,82062.14,33,4338.84,16,3515.96,7,2020,127,164171.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,15948.66,34,16410.11,26,3608.52,13,433.92,8,1260,92,37661.21,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),25,114299.99,35,15065.66,16,2077.03,12,1228.3,4,452.3299999999872,92,133123.31,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),33,514098.6,36,23834.9,52,26330.35,38,4851.05,6,890.92,165,570005.8200000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),12,30385.81,24,36488.08,28,4564.34,13,1788.57,3,141.8,80,73368.6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),24,266517.16,28,32946.49,22,7604.02,13,2292.44,5,1591.88,92,310951.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,62576.67,21,38114.94,31,4032.33,23,1649.01,7,2486.4,93,108859.34999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),16,36661.16,24,29444.15,30,2661.6,11,641.77,3,143.06,84,69551.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),25,91529.28,30,33173.82,35,3940.06,17,1344.77,7,5109.2,114,135097.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),36,11578,46,26656.35,57,8442.35,31,2845.28,11,3123.51,181,52645.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),16,65843.9,33,8485.88,42,17678.93,19,1274,5,584.38,115,93867.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),22,233512.80599999998,27,29970.64,20,2151.83,16,1195.6399999999999,6,1378.8,91,268209.716,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),10,21535.77,49,24373.870000000003,28,2480.41,9,218.66,9,533.3199999999999,105,49142.030000000006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),11,50500,25,20838.58,12,1952.49,4,323.03,5,1061.1,57,74675.20000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),31,342059.65,37,45563.94,16,2141.04,12,537.46,5,746.9200000000001,101,391049.01,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),52,807175.61,65,46477.78,51,4005.5,32,4084.24,6,634.75,206,862377.88,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),16,96343.84,21,8364.25,25,920.49,10,1702.58,3,554,75,107885.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),29,188112.1,44,27924.79,20,2802.42,24,1864.4499999999998,10,4900,127,225603.76,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),40,292428.78,64,71403.79000000001,50,9645.95,19,16207.8,2,275,175,389961.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),42,692405.2,36,46270.55,34,7188.5,9,826.8199999999999,4,144,125,746835.07,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
