fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,northern_no_of_issues,northern_amount_cr,eastern_no_of_issues,eastern_amount_cr,western_no_of_issues,western_amount_cr,southern_no_of_issues,southern_amount_cr,central_no_of_issues,central_amount_cr,foreign_no_of_issues,foreign_amount_cr,released_on,updated_on,data_source,data_url
2014-15,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,630.1339848,,,,,1,4.5,3,625.6339848,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,389.775333,2,360.375333,2,25,1,4.4,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,14.9732,3,14.9732,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,1590.840241375,,,,,3,1590.379216375,,,1,0.461025,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,483.84464,3,193.60000000000002,,,3,14.17,1,276.07464,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,3943.0343191,3,1023.53,,,5,1977.5982325999998,2,941.9060865,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,8902.9260689,2,1088.44,,,3,7814.4860689,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),1,4.63,1,4.63,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),11,442.51800000000003,1,5.45,1,1.56,7,432.48800000000006,2,3.02,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,989.2359990000001,,,,,4,163.729999,3,825.5060000000001,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,1700.277,,,1,5,7,1539.09,1,156.187,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,42.614999999999995,1,6.24,,,7,25.034999999999997,1,11.34,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,5574.8981475,1,3017.1,,,4,1257.471807,3,1300.3263405,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
