fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,total_value_pns_equity_debt_including_derivatives_crore,total_value_pns_equity_debt_excluding_derivatives_crore,assets_under_custody_fpis_deemed_fpis_crore,pns_including_derivatives_pct_of_assets_under_custody,pns_excluding_derivatives_pct_of_assets_under_custody
2018-19,2018,August,8,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-08-01,84647,80882,3431511,2.5,2.4
2018-19,2018,September,9,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-09-01,79548,75641,3138334,2.5,2.4
2018-19,2018,October,10,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-10-01,66587,65147,2982324,2.2,2.2
2018-19,2018,November,11,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-11-01,79247,78015,3108886,2.5,2.5
2018-19,2018,December,12,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-12-01,79513,78558,3138205,2.5,2.5
2018-19,2019,January,1,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-01-01,75693,74866,3090508,2.4,2.4
2018-19,2019,February,2,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-02-01,73428,73319,3089602,2.4,2.4
2018-19,2019,March,3,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-03-01,78110,77287,3342680,2.3,2.3
2019-20,2019,April,4,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-04-01,81220,80362,3355045,2.4,2.4
2019-20,2019,May,5,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-05-01,82619,82426,3417679,2.4,2.4
2019-20,2019,June,6,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-06-01,81913,81092,3381730,2.4,2.4
2019-20,2019,July,7,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-07-01,81082,80324,3203385,2.5,2.5
2019-20,2019,August,8,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-08-01,79088,78409,3198329,2.5,2.5
2019-20,2019,September,9,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-09-01,76611,75916,3291703,2.3,2.3
