fiscal_year,year,month,month_numeric,data_from_table,measure_type,portfolio_category,line_item,value,released_on,updated_on,data_source,data_url
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,advisory,total,78693,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,listed_equity,20229.5488,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,unlisted_equity,1598.3445000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,plain_debt,484924.5553000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,structured_debt,1696.2202,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,equity_derivative,74.82379999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,mutual_fund,8754.9119,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,others,15657.128900000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,April,4,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,total,611628.5295000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,discretionary,,49623,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
