fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2014-15,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,104,9280.6,72,16030.6,12,20876,188,46187.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,114,15571.45,92,16361.05,10,9915,216,41847.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,120,12056.57,137,21095,21,13705,278,46856.57,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,186,31282.44,175,37968.3,17,15556,378,84806.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,113,8193.06,134,9348.89,4,3150,251,20691.95,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,109,11691.59,170,20183.5,4,4250,283,36125.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,170,9401.49,150,15058.86,5,3460,325,27920.35,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,153,16185.82,109,15564.63,10,14814,272,46564.45,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,124,8263.71,64,7871.8,11,10476,199,26611.51,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,128,14613.8,77,18782.05,9,10535,214,43930.85,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,80,6939.97,49,9518,4,8160,133,24617.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,131,6632.84,80,16053.8,5,7465,216,30151.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,113,15059.12,59,20143.7,7,4190,179,39392.82,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,140,14474.62,45,8630.75,74,10705,259,33810.37,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,172,9542.69,86,27552.05,8,6355,266,43449.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,189,20166.96,112,15601.8,13,5310,314,41078.76,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,167,21548.68,89,24470.45,16,13782,272,59801.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
