fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2020-21,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,145,28999.54,34,12161.71,10,23227.4,189,64388.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,110,24320.69,26,16792.11,11,21218.01,147,62330.82,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,97,10393.72,32,17269.97,13,17881.3,142,45544.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,174,41715.43,54,29098,13,17316.51,241,88129.94,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,77,18524.3,30,17618.9,11,19480.5,118,55623.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,86,16841.78,24,20414.11,15,8429.5,125,45685,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,148,35097.69,54,33432.4,10,25799.8,212,94329.89,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,59,16857.16,17,8482.95,6,6670,82,32010.11,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,86,11539.14,21,7453.05,3,2250,110,21242.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,73,16211.17,27,12621.03,9,13219,109,42051.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,99,13738.09,21,8631.37,9,7711.4,129,30080.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,65,22465.24,23,19255,4,8128,92,49848.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,106,24675.51,33,24618.65,10,43432.53,149,92726.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,60,18708.13,22,12783.45,8,15353,90,46844.59,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,64,18997,22,16159.8,4,12497,90,47653.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,122,24896.81,35,23544.1,11,24704,168,73144.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,56,10568.6,17,8907.0069,4,6100,77,25575.6069,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,108,26917,26,17836,4,4552,138,49305,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,100,23553,63,39725,8,14277,171,77555,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,54,8474.61,13,3391.2,1,2500,68,14365.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,49,5107.04,16,4944.83,4,7987.9,69,18039.77,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,90,23446.14,25,13037.58,7,8385.26,122,44869.24,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,79,19510.74,44,27991.52,9,21365.62,132,68867.88,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,77,13234.48,32,23862.38,8,7782.72,117,44878.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,131,28420.86,33,16749.2,19,37917.66,183,83087.71875350001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,91,12552.35,18,8919.63,5,13227.4,114,34699,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,83,25154.15,44,26066.34,13,25342.85,140,76563.3383,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,116,32150.47,60,41662.38,22,62904.43,198,136717.276,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,75,24450.6,19,41672.14,11,41953.4,105,108076.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,87,20969.59,25,19921.92,8,20289,120,61180.509999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,84,29191.000000000004,34,29399,15,22686,133,81276,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,137,47878.884430700025,40,31707.36,17,21481,194,101067.24443070003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,83,14558.02,11,9221.62,7,6728.77,101,30508.41,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,89,30261.14,25,20113.97,9,10852.09,123,61227,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,95,22087.75,27,18962.73,9,23246.67,131,64297.149999999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,88,29477,30,32469,17,32098,135,94044.38921915,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,122,26124,28,16580,20,36708,170,79412,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,100,53852,43,47261,14,26209,157,127322,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,115,29316.8,33,31798.37,11,14967.15,159,76082.3201,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,59,9243,21,30642,13,27975,93,67860,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,94,42313,42,50656,14,24980,150,117949,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,91,23376,26,24402,22,19977,139,67755,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,89,33450,22,20840,16,29035,127,83325,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,118,28622,37,60343,19,28306,174,117271,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
