fiscal_year,month,month_numeric,data_from_table,bse_no.of_issues,bse_amount_crore,nse_no.of_issues,nse_amount_crore,msei_no.of_issues,msei_amount_crore,common_nse_bse_msei_no.of_issues,common_nse_bse_msei_amount_crore,total_no.of_issues,total_amount_crore,released_on,updated_on,data_source,data_url
2020-21,January,1,Table 6: Resource Mobilisation through Preferential Allotments,8,90.9,0,0,0,0,14,5241.96,22,5332.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 6: Resource Mobilisation through Preferential Allotments,5,83.4,1,0.18,1,5.95,10,5126.17,17,5215.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 6: Resource Mobilisation through Preferential Allotments,15,90.41,7,117.9,0,0,12,2689.95,34,2898.2599999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 6: Resource Mobilisation through Preferential Allotments,11,55,7,56,0,0,12,8999.14,30,9110.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 6: Resource Mobilisation through Preferential Allotments,15,114.94,4,28.87,0,0,19,5452.67,38,5596.4800000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 6: Resource Mobilisation through Preferential Allotments,17,173.93,3,9.56,0,0,8,10468.47,28,10651.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 6: Resource Mobilisation through Preferential Allotments,7,104,5,34,0,0,17,6463.57,29,6601.57,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 6: Resource Mobilisation through Preferential Allotments,10,220,2,4,0,0,22,2946.13,34,3170.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 6: Resource Mobilisation through Preferential Allotments,15,675.56,1,16.8,0,0,11,5292.65,27,5985.009999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 6: Resource Mobilisation through Preferential Allotments,10,297.44,1,10,1,1.92,13,1117.76,25,1427.1200000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 6: Resource Mobilisation through Preferential Allotments,13,240.16000000000003,1,4.4,0,0,8,217.60999999999999,22,462.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 6: Resource Mobilisation through Preferential Allotments,15,94,3,46.69,0,0,15,2517.44,33,2658.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 6: Resource Mobilisation through Preferential Allotments,11,55,0,0,1,0.8,10,12874,22,12929.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 6: Resource Mobilisation through Preferential Allotments,14,415.91,1,37,0,0,8,322,23,774.9100000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 6: Resource Mobilisation through Preferential Allotments,22,286.35,2,20.96,0,0,14,1021.26,38,1328.57,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 6: Resource Mobilisation through Preferential Allotments,12,73.28,4,6.45,1,3.1,26,13592.53,43,13675.36,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 6: Resource Mobilisation through Preferential Allotments,20,180.51,5,45.42,0,0,15,16926.11,40,17152.04,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 6: Resource Mobilisation through Preferential Allotments,23,256.43,0,0,0,0,21,4947.59,44,5204.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 6: Resource Mobilisation through Preferential Allotments,18,188.31,1,24,0,0,16,7022.76,35,7235.070000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 6: Resource Mobilisation through Preferential Allotments,9,53.19,1,6.62,0,0,9,4861.47,19,4921.280000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 6: Resource Mobilisation through Preferential Allotments,9,118.91,4,26.45,1,4.1,17,3369.76,31,3519.2200000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 6: Resource Mobilisation through Preferential Allotments,16,132.32,3,32.42,1,14.34,15,811.48,35,990.5600000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 6: Resource Mobilisation through Preferential Allotments,24,373.37,4,48.88,0,0,23,1294.15,51,1716.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 6: Resource Mobilisation through Preferential Allotments,24,430.84,4,52.24,1,1.5,18,6023.63,47,6508.21,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 6: Resource Mobilisation through Preferential Allotments,23,391.41,3,65.96,2,1.85,11,369.79,39,829.0100000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 6: Resource Mobilisation through Preferential Allotments,12,193,2,37.6,1,0.6,17,20572.72,32,20803.92,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 6: Resource Mobilisation through Preferential Allotments,21,343.75,4,28.54,0,0,13,904.52,38,1276.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 6: Resource Mobilisation through Preferential Allotments,26,1528.58,4,49.23,1,15.15,13,3241.82,44,4834.78,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 6: Resource Mobilisation through Preferential Allotments,31,722.34,3,63.08,1,0.6,16,1267.89,51,2053.9100000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 6: Resource Mobilisation through Preferential Allotments,23,438.29,4,19.88,1,11.01,16,2157.41,44,2626.59,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 6: Resource Mobilisation through Preferential Allotments,33,513.52,5,20.03,0,0,23,793.76,61,1327.31,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 6: Resource Mobilisation through Preferential Allotments,34,536.19,3,159.65,0,0,24,1135.57,61,1831.4099999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 6: Resource Mobilisation through Preferential Allotments,29,219.65,13,247.786,0,0,24,1523.83,66,1991.266,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 6: Resource Mobilisation through Preferential Allotments,32,3053.56,7,88.77,0,0,33,1789.7,72,4932.03,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 6: Resource Mobilisation through Preferential Allotments,30,396.69,7,77.314,1,0.98,20,2302.58,58,2777.564,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 6: Resource Mobilisation through Preferential Allotments,18,208.73,7,28.4155,0,0,21,15949.91,46,16187.0555,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 6: Resource Mobilisation through Preferential Allotments,36,1214.71,5,82.666,0,0,20,968.806,61,2266.182,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 6: Resource Mobilisation through Preferential Allotments,33,655.72,7,51.835,0,0,20,1118.54,60,1826.095,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 6: Resource Mobilisation through Preferential Allotments,29,905.34,8,122.0899,1,13.7,27,1459.78,65,2500.9099,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 6: Resource Mobilisation through Preferential Allotments,51,1387.3100000000002,13,206.12993135,1,5.02,42,6103.73,107,7702.18993135,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 6: Resource Mobilisation through Preferential Allotments,56,839.5000000000001,19,135.11,0,0,38,23968.573617000002,113,24943.183617000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 6: Resource Mobilisation through Preferential Allotments,26,822.4,13,187.04359809999997,0,0,22,5985.75,61,6995.1935981,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 6: Resource Mobilisation through Preferential Allotments,32,489.7,12,119.80251000000001,0,0,19,3714.7100068,63,4324.2125168,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 6: Resource Mobilisation through Preferential Allotments,30,618.3900000000001,12,151.063105215,0,0,34,590.7199999999999,76,1360.1731052149999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 6: Resource Mobilisation through Preferential Allotments,34,8097.39,11,235.0349,0,0,25,4265.07,70,12597.4949,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 6: Resource Mobilisation through Preferential Allotments,39,1235.06,16,791.54,1,42.76,29,1306.39,85,3375.75,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 6: Resource Mobilisation through Preferential Allotments,34,781.69,10,453.373573,0,0,34,815.4697258,78,2050.5332988,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 6: Resource Mobilisation through Preferential Allotments,65,3048.82,12,214.521165,1,4.46,35,2234.03,113,5501.8311650000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 6: Resource Mobilisation through Preferential Allotments,60,1829.72,6,1342.02,2,29.8,38,2917.4,106,6118.9400000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 6: Resource Mobilisation through Preferential Allotments,17,198.69,16,217.19,0,0,15,2416.15,48,2832.03,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 6: Resource Mobilisation through Preferential Allotments,34,845.62,9,145.66,1,4.75,24,5286.293663,68,6282.323663,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
