fiscal_year,year,month,month_numeric,start_date_stamp,end_date_stamp,name_of_mutual_fund,net_resource_mobilisation_inr_crore,data_from_table,released_on,updated_on,data_source,data_url,period_date
2018-19,2018,September,9,2018-04-01,2018-09-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-09-30
2018-19,2018,October,10,2018-04-01,2018-10-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-10-31
2018-19,2018,November,11,2018-04-01,2018-11-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-11-30
2018-19,2018,December,12,2018-04-01,2018-12-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-12-31
2018-19,2019,January,1,2018-04-01,2019-01-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-01-31
2018-19,2019,February,2,2018-04-01,2019-02-28,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-02-28
2018-19,2019,March,3,2018-04-01,2019-03-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-03-31
2019-20,2019,April,4,2019-04-01,2019-04-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-04-30
2019-20,2019,May,5,2019-04-01,2019-05-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-05-31
2019-20,2019,June,6,2019-04-01,2019-06-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-06-30
2019-20,2019,July,7,2019-04-01,2019-07-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-07-31
2019-20,2019,August,8,2019-04-01,2019-08-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-08-31
2019-20,2019,September,9,2019-04-01,2019-09-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-09-30
2019-20,2019,October,10,2019-04-01,2019-10-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-10-31
2019-20,2019,November,11,2019-04-01,2019-11-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-11-30
2019-20,2019,December,12,2019-04-01,2019-12-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-12-31
2019-20,2020,January,1,2019-04-01,2020-01-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-01-31
2019-20,2020,February,2,2019-04-01,2020-02-29,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-02-29
2019-20,2020,March,3,2019-04-01,2020-03-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-03-31
2020-21,2020,April,4,2020-04-01,2020-04-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-04-30
2020-21,2020,May,5,2020-04-01,2020-05-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-05-31
2020-21,2020,June,6,2020-04-01,2020-06-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-06-30
2020-21,2020,July,7,2020-04-01,2020-07-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-07-31
2020-21,2020,August,8,2020-04-01,2020-08-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-08-31
2020-21,2020,September,9,2020-04-01,2020-09-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-09-30
2020-21,2020,October,10,2020-04-01,2020-10-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-10-31
2020-21,2020,November,11,2020-04-01,2020-11-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-11-30
2020-21,2020,December,12,2019-04-01,2020-12-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-12-31
2020-21,2021,January,1,2020-04-01,2021-01-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-01-31
2020-21,2021,February,2,2020-04-01,2021-02-28,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-02-28
2020-21,2021,March,3,2020-04-01,2021-03-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-03-31
2021-22,2021,April,4,2020-04-01,2021-04-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-04-30
2021-22,2021,May,5,2021-04-01,2021-05-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-05-31
2021-22,2021,June,6,2021-04-01,2021-06-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-06-30
2021-22,2021,July,7,2021-04-01,2021-07-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-07-31
2021-22,2021,August,8,2021-04-01,2021-08-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-08-31
2021-22,2021,September,9,2021-04-01,2021-09-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-09-30
2021-22,2021,October,10,2021-04-01,2021-10-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-10-31
2021-22,2021,November,11,2021-04-01,2021-11-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-11-30
2021-22,2021,December,12,2021-04-01,2021-12-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-12-31
2021-22,2022,January,1,2021-04-01,2022-01-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-01-31
2021-22,2022,February,2,2021-04-01,2022-02-28,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-02-28
2021-22,2022,March,3,2021-04-01,2022-03-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-03-31
2022-23,2022,April,4,2022-04-01,2022-04-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-04-30
2022-23,2022,May,5,2022-04-01,2022-05-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-05-31
2022-23,2022,June,6,2022-04-01,2022-06-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-06-30
2022-23,2022,July,7,2022-04-01,2022-07-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-07-31
2022-23,2022,August,8,2022-04-01,2022-08-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-08-31
2022-23,2022,September,9,2022-04-01,2022-09-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-09-30
2022-23,2022,October,10,2022-04-01,2022-10-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-10-31
2022-23,2022,November,11,2022-04-01,2022-11-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-11-30
2022-23,2022,December,12,2022-04-01,2022-12-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-12-31
2022-23,2023,January,1,2022-04-01,2023-01-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-01-31
2022-23,2023,February,2,2022-04-01,2023-02-28,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-02-28
2022-23,2023,March,3,2022-04-01,2023-03-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-03-31
2023-24,2023,April,4,2023-04-01,2023-04-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-04-30
2023-24,2023,May,5,2023-04-01,2023-05-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-05-31
2023-24,2023,June,6,2023-04-01,2023-06-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-06-30
2023-24,2023,July,7,2023-04-01,2023-07-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-07-31
2023-24,2023,August,8,2023-04-01,2023-08-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-08-31
2023-24,2023,September,9,2023-04-01,2023-09-30,IIFCL Mutual Fund (IDF),-639.142170916,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-09-30
2023-24,2023,October,10,2023-04-01,2023-10-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-10-31
2023-24,2023,November,11,2023-04-01,2023-11-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-11-30
2023-24,2023,December,12,2023-04-01,2023-12-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-12-31
2023-24,2024,January,1,2023-04-01,2024-01-31,IIFCL Mutual Fund (IDF),-639.142170916,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-01-31
2023-24,2024,February,2,2023-04-01,2024-02-29,IIFCL Mutual Fund (IDF),-639.142170916,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-02-29
2023-24,2024,March,3,2023-04-01,2024-03-31,IIFCL Mutual Fund (IDF),-639.142170916,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-03-31
2024-25,2024,April,4,2023-04-01,2024-04-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-04-30
2024-25,2024,May,5,2023-04-01,2024-05-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-05-31
2024-25,2024,June,6,2023-04-01,2024-06-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-06-30
2024-25,2024,July,7,2023-04-01,2024-07-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-07-31
2024-25,2024,August,8,2023-04-01,2024-08-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-08-31
2024-25,2024,September,9,2023-04-01,2024-09-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-09-30
2024-25,2024,October,10,2023-04-01,2024-10-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-10-31
2024-25,2024,November,11,2023-04-01,2024-11-30,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-11-30
2024-25,2024,December,12,2023-04-01,2024-12-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-12-31
2024-25,2025,January,1,2023-04-01,2025-01-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-01-31
2024-25,2025,March,3,2023-04-01,2025-03-31,IIFCL Mutual Fund (IDF),0,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-03-31
2018-19,2018,April,4,2018-04-01,2018-04-30,IIFL Mutual Fund (360 One),87.03185122999997,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-04-30
2018-19,2018,May,5,2018-04-01,2018-05-31,IIFL Mutual Fund (360 One),656.3893917529999,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-05-31
2018-19,2018,June,6,2018-04-01,2018-06-30,IIFL Mutual Fund (360 One),532.930576107,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-06-30
2018-19,2018,July,7,2018-04-01,2018-07-31,IIFL Mutual Fund (360 One),473.2265681930001,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-07-31
2018-19,2018,August,8,2018-04-01,2018-08-31,IIFL Mutual Fund (360 One),769.0963910759999,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-08-31
2018-19,2018,September,9,2018-04-01,2018-09-30,IIFL Mutual Fund (360 One),468.3038123139996,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-09-30
2018-19,2018,October,10,2018-04-01,2018-10-31,IIFL Mutual Fund (360 One),326.42665846999995,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-10-31
