fiscal_year,year,month,month_numeric,start_date_stamp,end_date_stamp,name_of_mutual_fund,net_resource_mobilisation_inr_crore,data_from_table,released_on,updated_on,data_source,data_url,period_date
2019-20,2019,October,10,2019-04-01,2019-10-31,Aditya Birla Sun Life Mutual Fund,4067.697296058137,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-10-31
2019-20,2019,November,11,2019-04-01,2019-11-30,Aditya Birla Sun Life Mutual Fund,433.4934811985154,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-11-30
2019-20,2019,December,12,2019-04-01,2019-12-31,Aditya Birla Sun Life Mutual Fund,-3474.4097136592463,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-12-31
2019-20,2020,January,1,2019-04-01,2020-01-31,Aditya Birla Sun Life Mutual Fund,5596.6063421126255,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-01-31
2019-20,2020,February,2,2019-04-01,2020-02-29,Aditya Birla Sun Life Mutual Fund,1974.6901385760073,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-02-29
2019-20,2020,March,3,2019-04-01,2020-03-31,Aditya Birla Sun Life Mutual Fund,-24219.793776866674,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-03-31
2020-21,2020,April,4,2020-04-01,2020-04-30,Aditya Birla Sun Life Mutual Fund,-5571.770333893619,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-04-30
2020-21,2020,May,5,2020-04-01,2020-05-31,Aditya Birla Sun Life Mutual Fund,406.9830258960303,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-05-31
2020-21,2020,June,6,2020-04-01,2020-06-30,Aditya Birla Sun Life Mutual Fund,357.0931655945733,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-06-30
2020-21,2020,July,7,2020-04-01,2020-07-31,Aditya Birla Sun Life Mutual Fund,9890.85598402879,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-07-31
2020-21,2020,August,8,2020-04-01,2020-08-31,Aditya Birla Sun Life Mutual Fund,12890.936485837983,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-08-31
2020-21,2020,September,9,2020-04-01,2020-09-30,Aditya Birla Sun Life Mutual Fund,3130.2297668919814,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-09-30
2020-21,2020,October,10,2020-04-01,2020-10-31,Aditya Birla Sun Life Mutual Fund,14367.6373888148,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-10-31
2020-21,2020,November,11,2020-04-01,2020-11-30,Aditya Birla Sun Life Mutual Fund,19402.821353401177,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-11-30
2020-21,2020,December,12,2019-04-01,2020-12-31,Aditya Birla Sun Life Mutual Fund,17008.085125155303,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-12-31
2020-21,2021,January,1,2020-04-01,2021-01-31,Aditya Birla Sun Life Mutual Fund,10377.09,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-01-31
2020-21,2021,February,2,2020-04-01,2021-02-28,Aditya Birla Sun Life Mutual Fund,15742.72,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-02-28
2020-21,2021,March,3,2020-04-01,2021-03-31,Aditya Birla Sun Life Mutual Fund,8982.74,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-03-31
2021-22,2021,April,4,2020-04-01,2021-04-30,Aditya Birla Sun Life Mutual Fund,5026.36,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-04-30
2021-22,2021,May,5,2021-04-01,2021-05-31,Aditya Birla Sun Life Mutual Fund,4907.33,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-05-31
2021-22,2021,June,6,2021-04-01,2021-06-30,Aditya Birla Sun Life Mutual Fund,13137.54,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-06-30
2021-22,2021,July,7,2021-04-01,2021-07-31,Aditya Birla Sun Life Mutual Fund,23544.15,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-07-31
2021-22,2021,August,8,2021-04-01,2021-08-31,Aditya Birla Sun Life Mutual Fund,21725.27,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-08-31
2021-22,2021,September,9,2021-04-01,2021-09-30,Aditya Birla Sun Life Mutual Fund,5693.34,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-09-30
2021-22,2021,October,10,2021-04-01,2021-10-31,Aditya Birla Sun Life Mutual Fund,9300.25,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-10-31
2021-22,2021,November,11,2021-04-01,2021-11-30,Aditya Birla Sun Life Mutual Fund,8262.22,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-11-30
2021-22,2021,December,12,2021-04-01,2021-12-31,Aditya Birla Sun Life Mutual Fund,4551.94,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-12-31
2021-22,2022,January,1,2021-04-01,2022-01-31,Aditya Birla Sun Life Mutual Fund,10059.058828040483,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-01-31
2021-22,2022,February,2,2021-04-01,2022-02-28,Aditya Birla Sun Life Mutual Fund,12389.646919789016,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-02-28
2021-22,2022,March,3,2021-04-01,2022-03-31,Aditya Birla Sun Life Mutual Fund,-377.3473230777381,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-03-31
2022-23,2022,April,4,2022-04-01,2022-04-30,Aditya Birla Sun Life Mutual Fund,4280.180439791748,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-04-30
2022-23,2022,May,5,2022-04-01,2022-05-31,Aditya Birla Sun Life Mutual Fund,-1182.4302011739514,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-05-31
2022-23,2022,June,6,2022-04-01,2022-06-30,Aditya Birla Sun Life Mutual Fund,-14607.282280657952,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-06-30
2022-23,2022,July,7,2022-04-01,2022-07-31,Aditya Birla Sun Life Mutual Fund,-11902.515285683952,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-07-31
2022-23,2022,August,8,2022-04-01,2022-08-31,Aditya Birla Sun Life Mutual Fund,-3175.9735579169496,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-08-31
2022-23,2022,September,9,2022-04-01,2022-09-30,Aditya Birla Sun Life Mutual Fund,-14968.796973348948,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-09-30
2022-23,2022,October,10,2022-04-01,2022-10-31,Aditya Birla Sun Life Mutual Fund,-14715.512517487954,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-10-31
2022-23,2022,November,11,2022-04-01,2022-11-30,Aditya Birla Sun Life Mutual Fund,-13252.809540843953,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-11-30
2022-23,2022,December,12,2022-04-01,2022-12-31,Aditya Birla Sun Life Mutual Fund,-12618.053911855954,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-12-31
2022-23,2023,January,1,2022-04-01,2023-01-31,Aditya Birla Sun Life Mutual Fund,-19857.015215756932,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-01-31
2022-23,2023,February,2,2022-04-01,2023-02-28,Aditya Birla Sun Life Mutual Fund,-25214.990069769956,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-02-28
2022-23,2023,March,3,2022-04-01,2023-03-31,Aditya Birla Sun Life Mutual Fund,-22370.834114555953,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-03-31
2023-24,2023,April,4,2023-04-01,2023-04-30,Aditya Birla Sun Life Mutual Fund,15567.82990029633,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-04-30
2023-24,2023,May,5,2023-04-01,2023-05-31,Aditya Birla Sun Life Mutual Fund,18532.15205696283,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-05-31
2023-24,2023,June,6,2023-04-01,2023-06-30,Aditya Birla Sun Life Mutual Fund,18402.825554571362,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-06-30
2023-24,2023,July,7,2023-04-01,2023-07-31,Aditya Birla Sun Life Mutual Fund,20142.414579149136,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-07-31
2023-24,2023,August,8,2023-04-01,2023-08-31,Aditya Birla Sun Life Mutual Fund,13703.66958709913,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-08-31
2023-24,2023,September,9,2023-04-01,2023-09-30,Aditya Birla Sun Life Mutual Fund,3443.8394596313874,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-09-30
2023-24,2023,October,10,2023-04-01,2023-10-31,Aditya Birla Sun Life Mutual Fund,9097.418552566867,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-10-31
2023-24,2023,November,11,2023-04-01,2023-11-30,Aditya Birla Sun Life Mutual Fund,9962.675779372928,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-11-30
2023-24,2023,December,12,2023-04-01,2023-12-31,Aditya Birla Sun Life Mutual Fund,6035.965815566765,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-12-31
2023-24,2024,January,1,2023-04-01,2024-01-31,Aditya Birla Sun Life Mutual Fund,15699.149699196805,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-01-31
2023-24,2024,February,2,2023-04-01,2024-02-29,Aditya Birla Sun Life Mutual Fund,19301.082021648057,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-02-29
2023-24,2024,March,3,2023-04-01,2024-03-31,Aditya Birla Sun Life Mutual Fund,-1844.7115216793786,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-03-31
2024-25,2024,April,4,2023-04-01,2024-04-30,Aditya Birla Sun Life Mutual Fund,24691.56290901437,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-04-30
2024-25,2024,May,5,2023-04-01,2024-05-31,Aditya Birla Sun Life Mutual Fund,30711.163203682514,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-05-31
2024-25,2024,June,6,2023-04-01,2024-06-30,Aditya Birla Sun Life Mutual Fund,19823.993780496894,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-06-30
2024-25,2024,July,7,2023-04-01,2024-07-31,Aditya Birla Sun Life Mutual Fund,33038.694162821324,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-07-31
2024-25,2024,August,8,2023-04-01,2024-08-31,Aditya Birla Sun Life Mutual Fund,38768.35061212217,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-08-31
2024-25,2024,September,9,2023-04-01,2024-09-30,Aditya Birla Sun Life Mutual Fund,22061.21727481717,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-09-30
2024-25,2024,October,10,2023-04-01,2024-10-31,Aditya Birla Sun Life Mutual Fund,34416.178438013725,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-10-31
2024-25,2024,November,11,2023-04-01,2024-11-30,Aditya Birla Sun Life Mutual Fund,33167.12239236541,Table 60 AMC-Wise Net Resource Mobilisation  (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-11-30
