fiscal_year,month,month_numeric,data_from_table,airlines,automobile,banking_fis,cement_construction,chemicals,consumer_services,electrical_equipment_production,engineering,entertainment,finance,food_processing,healthcare,hotels,information_technology,insurance,miscellaneous,oil_natural_gas,paper_pulp,plastic,power,printing,roads_highways,telecommunication,textile,total,released_on,updated_on,data_source,data_url
2018-19,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,8.58,,,,1.3,,,,5.99865,,,1641.18,3.6,,94.3268,,,,,,,,,1754.9854500000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,2.15,7.21,,,,,,,,,286.5702736,,,,,,,,8.316,304.2462736,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,39.77568,1345.26,477.11,2.26,,,1204.28836,3.6,,,96.40858,,,,,,,,,3168.70262,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,12.214251,,,141.135882,42,1.93,,,,15.46,37.91,,,,6.57,,,,,,,49938.79228875,,50196.012421750005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,11.75,,,,,,,9.9677837,,,,,,,,,30.86,,52.5777837,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,12.8412,,,,,,,,6.65,,,,1991.4189726,,,,,,,,,2010.9101726,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,1189.849416,24.9284175,12.6993069,,2869.43156,,,,,,,458.9999385,,101.909168,,,,,,,,23.1576345,4680.975441400001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,5.84,,6.18,,8.4996,,,,,,,,,20.519599999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,229.1701706,,17.93,,17.77,,3.69,60,,,,,657.6600000000001,,,,,,,,,986.2201706000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,,,,,24.213,,,,,,,,,24.213,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,1155.6268065,,,,,,,,,,,10.8,,6.324,,,500,,,,,,1672.7508065,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,11.52,,,,,,7.23,3.11,,,,3.83,,,,,,,,,25.689999999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,8,,,,,,3430.16,4.08,,,4.24,,35.69,,,,,,,,,3482.1699999999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,10340.8,,15.33,,,,372.30000000000007,,,,,,,,,10728.429999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,3.24,,,,,,,,,,8.28,,,,,2.4,,,,13.92,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,,,,,,,,,,,,,,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,,,,,,53124.2,,2.46,,,,,,53126.659999999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,15000,,496.25,400,,10.51,,,,,,4.02,,,,,,,,,,,15910.78,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,4581.01,6.9,,79.53,,,299.79,,,,,,,120.53,24.87,,,,,,,995.12,6107.749999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,242.793475,119.896002,,,,6.885,,,,,,,1302.02,,,,,,,,,,,1671.594477,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,15.7468,496.91999999999996,4.5,,504.89,3.705,5002,,,349.66,30.214499999999997,,24.88,,,8.09,,,,,,6440.6063,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,517.6,,6479.5452,,,,71.3,,,,,,,,1.59,7070.0352,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,299.16,,,2.7,,1350.54,,,,,,,,,,,,,,1652.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,0,0,,81.25,0,4633.38,0,0,0,0,0,299.99,0,,0,0,0,0,0,0,5014.62,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,0,0,,0,0,4152.33,0,100,0,0,0,1584.99,0,,0,0,0,0,819.24,0,6656.5599999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,29.7,,,1359.999998,,,1430.2300814999999,582.69,619.333042,,,,4.01,,2348.01,,,,25,,9.5,,45.14,6453.6131215000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,2500,0,0,0,23.4,0,0,4.98,0,452.87,0,0,232.99077599999998,0,0,4.03,0,0,0,0,69.95,3288.220776,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,26.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,5550,0,0,0,0,0,0,0,0,520.1769904,2153.49,0,0,0,1322.19866663,4.05,0,0,0,0,0,0,0,9549.91565703,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,2395.743742495,0,5,0,0,0,0,6.6,0,1.22,0,9881.479995599999,0,0,0,0,0,962.33,0,0,13252.373738094999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,730.99998,0,5000,3850,0,0,0,0,5.12,0,3128.47,1838,43.19,0,5950.370000000001,0,0,0,0,0,0,0,0,20546.149980000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,42.36,0,0,0,0,0,0,0,2596.1099999999997,0,43.050000000000004,0,1286.4,0,0,0,0,0,0,0,0,3967.92,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,409.65000000000003,0,0,18.01,4.28544,0,2768.26,11.71,0,0,0,0,503.9272,0,0,12.48,0,0,0,0,105.16,3833.48264,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,1200.29,72.17999999999999,0,0,0,0,0,0,2073.25,1198.8980000000001,24.9,600,0,30170.690000000002,18.9,0,0,0,0,0,20987.389917,1013.6,57360.097917,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,164.5112789,125.96,1100,19.591405,619.23,0,659.38,0,2098.3,1981.968855,2377.36,6018.68,2804.6209969600004,0,0,0,0,0,0,288.61389,0,18258.216425860002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,1.96,49.44147856,0,0,0,0,0,0,34.4,0,680,0,38.196336,0,0,0,0,0,0,0,10.09,814.08781456,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,21.93,0,4.41,0,0,10,2.7,0,50.75,3600,20.22,0,0,0,72.48,0,0,0,0,12.15,0,0,3149.19,6943.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,22.69,0,4.872,40,0,0,0,0,48.18,93.647106,751.604625,6.495,49.376484600000005,0,26.272800000000004,0,0,0,0,0,0,0,10.6848,1053.8228156,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,132.5,0,0,0,16.7,0,51.39,60,55.5,0,0,0,341.33,4300,0,0,0,0,0,0,0,4957.42,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,57.160000000000004,1585.56132,6.8,0,0,0,428.2800000000001,0,1644.6,0,343.556264,20557.23,7647.9401966000005,0,0,0,0,0,0,0,48,32319.1277806,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,89.05,0,1.9,0,0,0,0,48,0,0,0,0,130.7,0,0,0,0,0,0,0,11.107437000000001,280.757437,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,0,0,840.13,13.1,0,0,17.89,0,0,1.89,0,67.61,0,0,0,0,0,0,0,4.43,945.05,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,816.52,47.3958,0,0,63.3800643,789.437635,0,562.1011968,35.4668,64.8773204,0,36.6,0,280.8685282,0,0,11.4,3.996,0,0,0,0,2712.0433447,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,0,0,30.48,0,29.1,0,0,92.21000000000001,0,14.04,0,1227.0054250999997,0,0,0,0,0,0,26.02,0,1418.8554250999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,635,1535.8999999999999,0,0,0,0,2692.5,880.85,2605.3718145000003,0,857.82,0,2495.21,0,0,7.87,0,0,0,0,18.522,11729.043814500003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,9.41,24.460568,0,0,0,516.584516,0,0,0,74.3258008,0,0,48.19,0,4552.005999999999,10.2,0,0,0,0,0,0,0,5235.176884799999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,44.6258,27.365000000000002,13.0522,0,29.117137500000002,0,0,10.74,323.6006821,0,0,0,0,432.0546,0,0,0,0,0,0,0,241.27119,1121.8266096,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,80.55,0,0,125,0,0,0,0,0,0,0,0,329.50100000000003,0,0,0,0,0,0,0,34.97,570.0210000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,55.209999999999994,116.72,0,22.7,0,33.7392,0,0,86.61,0,0,0,2742.9928999999997,0,0,7.09,0,0,0,0,0,3065.0621,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,0,21.12,864.9998456,0,0,854.0105000000001,0,0,0,5.1465,0,107.7757,41.1333012,0,0,21.1119528,0,65.999997,0,0,1981.2977965999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,0,0,27.0691,99.75999999999999,21.17,2533.72207,0,47.6852,0,9.333,0,4534.8101,0,0,0,0,0,0,0,0,7273.54947,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,97.355572,0,0,669.1412,0,0,0,72.36999999999999,166.3937036,0,0,0,409.4034411,0,0,27.61512,0,0,0,0,42.21,1484.4890366999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,500,448.4301354,0,0,0,13.23,0,0,0,26.94,49.0870305,132.8656,0,3216.4141818999997,0,0,0,0,0,0,0,0,4386.9669478,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,46.966444,0,83.82824600000001,7.74,96.81710000000001,42.72,5.476131,1025.22,8.99,2277.27,0,94.68,0,2771.6556558000007,0,0,0,5.31,0,0,0,0,6466.673576800001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,351.86,9.11,0,2561.09,222.95000000000002,0,26.86,0,940.47,1370.1,93.86999999999999,0,2762.54,0,0,0,0,0,0,0,1226.06,9564.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,16.84,49.91,0,172.70000000000002,0,71.28,54.66,51.69,0,6.36,0,0,99.32000000000001,0,4088.299999999999,544.36,0,0,0,0,49.98,49.46,33.06,5287.919999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,833.91,1556.4041069999998,0,64.66,4103.17,21,0,0,0,0,874.79,0,3616.8999999999996,0,2464.79,0,0,0,0,0,0,0,7.6,13543.224107,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,23.04,0,820.6800000000001,39.33,0,2160,23.8,648.4,0,12.23,0,5725.64,0,0,40.75,46.67,0,0,0,31.24,9571.78,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,49.89,143.8103,60.16,667.539,169,20.26,78.66999999999999,0,0,0,9.6,1241.7388,0,0,0,0,0,0,0,,1171.58,3612.2481,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,47.19792,1093.0700000000002,4012.7422572,0,0,273.4638074,56.25312,97.2,3693.397725,0,2172.52736,2720.04,983.594,0,278.62219749999997,0,0,,97.40684159999999,0,94.6827,0,22.491,15642.6889287,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,601.55,0,52.344,486.5069398,27,480.82223999999997,273.5,0,80.06,973.5571285999999,0,0,135.36096,0,1036.576208,0,0,40.2144,0,0,0,,89.2764,4276.7682764,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,54,1151,565.13648,0,16,800,0,14,33,129.9456,12,0,93,0,176.48475189999954,6,0,0,0,0,0,22275,45,25370.5668319,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,25,0,23.364,60,1565,285.280665,0,8,4272,148.51999999999998,1898,0,84,2615,1279.914807799998,0,45,0,0,0,0,0,29,12338.079472799998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,0,149,756,685.2476800000001,0,0,255,163.26952,460,0,33,0,993.6807999999996,0,0,0,0,0,0,0,76,3571.198,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,116,0,393.06100000000004,45,0,1046.6054351999999,0,46,151,2117.874,1993,0,0,0,2552.560417900001,0,40,0,0,0,0,450,50,9001.1008531,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,6228,0,1972.3532,25,4198,139.7285,0,19,0,3058.9888207999998,1892,0,527,0,400.3723131060069,0,0,0,48,46,0,0,261,18815.442833906007,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,754,0,24.35,67,985,3590.1968,0,56,7788,130.91,71,0,34,0,2974.9448000000048,0,0,0,250,0,0,0,158,16883.401600000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,27982,0,656.9056,202,55,5456.4154026,0,0,237,703.7192474999999,0,0,0,0,209.19837894000375,0,0,0,0,0,0,0,151,35653.23862904,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,0,0,5430,0,11327,0,0,0,2900,0,29,0,2155,2200,2131.5032000000065,0,0,0,10000,0,0,0,93,36265.50320000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,1299,0,108.59,3380,9629,1918.6265999999996,0,78,207,122.10547576,4471,0,2525,0,6772.295290460002,25,0,0,0,0,0,0,583,31118.61736622,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,127,0,112.94999999999999,298,90,1062.229138,0,0,102,55.072,778,0,268,0,668.2389063999999,48,0,0,0,0,0,0,11,3620.4900444,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,54,298,142.70260000000002,274,0,2265.1255,0,0,13,14.92,3215,0,8750,0,357.35944650000056,0,0,0,0,0,0,0,129,15513.107546500001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),0,20,0,0,110,74,877.60601736,0,0,0,43.17218942,0,0,96,0,806.009321,0,0,0,0,0,0,0,12,2038.78752778,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
