fiscal_year,month,month_numeric,data_from_table,airlines,automobile,banking_fis,cement_construction,chemicals,consumer_services,electrical_equipment_production,engineering,entertainment,finance,food_processing,healthcare,hotels,information_technology,insurance,miscellaneous,oil_natural_gas,paper_pulp,plastic,power,printing,roads_highways,telecommunication,textile,total,released_on,updated_on,data_source,data_url
2014-15,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,7.97,,120.0000267,15.79,,,7.2,13.309999999999999,,2.95,,,3.3,,,,,30,200.5200267,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,603.195556,,,,,,,,,,,,26.9384288,,,,,,,,,630.1339848,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,9,,,,,,,,25.945332999999998,,,4.4,,,,,350.43,389.775333,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,7.7632,,3.96,,,,,3.25,,,,,,,,,14.9732,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,0.461025,,,,,,2.58,,,,,,1587.799216375,,,,,,,,,1590.840241375,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,4.8,14.99,,174.71,,,,277.57464,,,,,,3.9,,,,,,,,7.87,483.84463999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,474.02776,2.5,,,,3.11,374.6,,,,,,,3088.7965590999997,,,,,,,,,3943.0343190999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,718.4144689,,7584.5116,,,,,600,,,,,,,,,,,,,,,,8902.9260689,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,,,4.63,,,,,,,,,,,4.63,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,3.24,4.58,,,400,,1.56,,,24.208,,4.29,,,3.04,,,1.6,442.51800000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,273.216,,42.48,5.7,550,2.29,,,115.549999,,,,,,,,,989.2359989999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,3.24,,156.187,70,,,,20.9,,356,,,,,602.29,,,,,,491.66,,,1700.277,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,16.62,,,3.24,,,,6.24,2.43,1.86,,,8.795,,,,,,,,3.43,42.615,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),3017.1,,,,,,,5.7684,,,,,1150,,,558.5055125,,,99.990828,,,740.160063,,3.373344,5574.898147499999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,45.1838274,,,1.19,,1978.5299999999997,,,,24.22,,,,,,,,,2049.1238273999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,4.26,613.08,,8.676,,,,,,,,,,,626.0160000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,410.19,,149.9999886,,428.47723,6.44,13.65,,7.04,,1.54,1.31,451.2527799,,3.78,,,,,,,,,1473.6799985,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,3.22,5.39,,,,649.64,,,,24.240000000000002,,,,,,,,,682.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,17.5,,,2387.119993,,,,451.88,,78,,,,,,,,,2934.499993,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,882.4957890000001,750.52,510.1139768,,,,263.5399845,,,,,,,,162.770178,2569.4399283000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,74.995076625,2.51,39.6,,,,,,,,,,,,,,,,,,7.65,124.75507662500002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
