year,index_type,index_name,country,index_value,data_from_table,released_on,updated_on,data_source,data_url
2017,Closing Value of International Indices,Nasdaq Omx Us,United States,6903.389,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018,Closing Value of International Indices,Nasdaq Omx Us,United States,6635.277,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019,Closing Value of International Indices,Nasdaq Omx Us,United States,8972.604,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020,Closing Value of International Indices,Nasdaq Omx Us,United States,12888.282,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021,Closing Value of International Indices,Nasdaq Omx Us,United States,15644.971,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Closing Value of International Indices,Nasdaq Omx Us,United States,10466.482,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Closing Value of International Indices,Nasdaq Omx Us,United States,15011.352,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Closing Value of International Indices,Nasdaq Omx Us,United States,19310.792,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Closing Value of International Indices,Nasdaq Omx Us,United States,17299.287,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013,Closing Value of International Indices,S&P Sp500,United States,1848.36,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014,Closing Value of International Indices,S&P Sp500,United States,2058.9,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015,Closing Value of International Indices,S&P Sp500,United States,2043.94,Yearly Closing Values of Bluechip International Indices-Y_p,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
