fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,fpi_fii_sa_no,fpi_fii_sa_amt,insurance_company_no,insurance_company_amt,mutual_funds_no,mutual_funds_amt,fdi_investments_no,fdi_investments_amt,foreign_depository_no,foreign_depository_amt,banks_no,banks_amt,financial_institutions_no,financial_institutions_amt,local_pension_funds_no,local_pension_funds_amt,foreign_venture_capital_investment_no,foreign_venture_capital_investment_amt,corporates_no,corporates_amt,portfolio_management_services_no,portfolio_management_services_amt,nris_no,nris_amt,global_depository_receipts_no,global_depository_receipts_amt,ocbs_no,ocbs_amt,others_no,others_amt,total_no,total_amt
2014-15,2014,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-09-01,8186,2084279,442,357646,1989,797626,1247,376095,72,223902,40,106271,22,16410,41,3833,170,51657,300,45294,3425,24809,233,1825,680,6836,26,1570,2134,307562,19007,4405615
2014-15,2014,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-10-01,8194,2171396,446,362233,1977,848902,1249,384973,72,237408,40,110026,22,18895,41,3843,174,51539,302,44895,3504,24851,238,1826,678,7681,26,1688,2191,315445,19154,4585601
2014-15,2014,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-11-01,8138,2268031,447,366872,1962,864282,1248,398933,72,245410,40,103445,22,21225,41,3878,174,51711,308,46446,3377,26226,246,1900,671,7188,26,1828,2240,324004,19012,4731379
2014-15,2014,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-12-01,8184,2245276,447,362416,1970,852888,1261,401964,72,240193,40,112776,21,21535,41,3976,174,52598,314,46490,3385,26866,247,1890,676,7029,25,1883,2341,331313,19198,4709093
2014-15,2015,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-01-01,8174,2402494.04,447,374658.51,2018,902435.71,1264,430117.35,72,260029.66,40,119945.43,21,22181.12,41,4217.17,175,52919.5,319,47964.51,3479,28372,251,1978.43,667,7570,25,1905.76,2422,336405.04,19415,4993194.229999999
2014-15,2015,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-02-01,8295,2456374.83,448,375908.53,2007,912330.19,1262,434208.46,61,268086.97,40,126020.15,21,19827.27,41,4247.66,174,52619.36,319,51657.73,3578,30146,265,2026.24,669,7783,25,1841.16,2546,339275.1599999999,19751,5082352.710000002
2014-15,2015,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-03-01,8328,2411863.76,448,372196.93,1948,883162.34,1284,454886.46,61,252748.82,41,126781.35,21,20818.79,41,4328.38,177,52183.47,323,54876.57,3784,28662,271,2000.15,663,7515,25,1783.84,2699,339597.09,20114,5013404.949999999
2015-16,2015,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-04-01,8342,2355361.43,448,369235.08,1937,944453.41,1279,445807.93,61,245702.98,41,137683.56,21,22107.49,41,4326.9,177,51994.08,328,53455.29,3917,28557,274,2114.83,662,7084,23,1704.11,2787,340816.85000000003,20338,5010404.940000001
2015-16,2015,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-05-01,8378,2413100.28,443,373227.51,1946,972748.85,1297,461076.4,61,249285.41,41,146459.96,21,19855,41,4375.86,178,52581.95,335,49707.36,4100,30005,283,2195.04,665,7593,23,1775.24,2933,344781.15,20745,5128768.010000002
2015-16,2015,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-06-01,8416,2386478.82,443,370874.66,1955,949762.22,1308,455157.1,62,248419.85,41,140815.09,20,18903.6,41,4394.1,178,52517.17,340,49134.94,4346,30338,292,2274.16,666,7185,23,1870.56,3126,341411.33,21257,5059536.6
2015-16,2015,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-07-01,8457,2453013.45,484,375296.87,1945,1011399.69,1323,478091.08,62,257744.14,41,140686.01,20,16287.53,41,4422.81,179,52692.13,348,50023.88,4518,32059,294,2645.13,664,7237,23,1959.3,3463,342875.89,21862,5226433.909999998
2015-16,2015,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-08-01,8470,2313547.74,497,364971.55,1938,983802.41,1332,459860.88,62,239077.16,41,170099.67,20,13035.51,41,4443.23,180,52610.05,357,49893.53,4619,38010,313,2571.04,653,6741,23,1845.33,3599,351684.39,22145,5052193.49
2015-16,2015,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-09-01,8545,2303513.14,523,1206425.85,1948,1016157.67,1353,458341.83,62,241293.7,118,215470.58,31,76898.38,92,98856.09,181,52561.19,386,54971.64,4738,33453,331,2679.73,651,6213,23,1869.05,3829,352027.6599999999,22811,6120732.510000001
2015-16,2015,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-10-01,8607,2344178.61,483,1220472.61,1970,1084362.99,1375,461298.2,62,247660.27,118,222012.76,31,78503.52,92,101553.5,187,53857.93,387,55627.65,4839,34228,342,2571.72,654,6576,23,1938.28,3888,359480.45,23058,6274322.489999999
2015-16,2015,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-11-01,8662,2308768.55,484,1223033.81,1960,1101529.74,1379,460058.23,62,244433.34,116,236891.84,31,78543.03,92,103959.93,188,54640.39,387,56738.92,4900,35629,353,2624.62,654,6323,23,1961.94,4753,362355.74000000005,24044,6277492.08
2015-16,2015,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-12-01,8689,2320539.39,488,1224574.24,1876,1107178.76,1390,487012.52,63,244128.1,115,221262.4,31,75123,92,107539.23,188,56179.1,388,58359.93,5006,36141,361,2657.19,657,6899,23,1815.1,4919,370288.43,24286,6319697.39
2015-16,2016,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-01-01,8753,2200836.55,490,1187494.17,1870,1117842.77,1391,457931.84,63,231259.56,115,222470.38,31,65012.96,92,109867.51,188,57948.4,394,58511.68,5077,34758,363,2461.37,659,6150,23,1740.39,4928,375709.8300000001,24437,6129995.409999999
2015-16,2016,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-02-01,8760,2043139.4,489,1143811.79,1834,1094042.94,1401,430503.97,63,210088.37,115,218830.9,31,62609.31,92,112173.78,190,57646.89,400,57608.54,5158,33371,351,2175.03,661,5372,23,1584.31,5018,377987.82,24586,5850946.05
2015-16,2016,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-03-01,8855,2224537.33,489,1227301.44,1807,1101724.46,1411,468497.71,63,235913.9,114,192945.79,31,69999.35,92,116989.91,189,57928.06,401,57783.68,5223,35397,345,2326.92,664,5552,23,1657.94,5032,388448.4700000001,24739,6187003.96
2016-17,2016,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-04-01,8882,2281345.68,490,1244593.41,1837,1215456.49,1421,475703.89,63,240524.03,114,220410.98,31,69490.19,92,120693.92,187,58148.26,405,61116.31,5286,40427,339,2383.9,666,5465,23,1769.35,5081,395131.60000000003,24917,6432660.01
2016-17,2016,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-05-01,8918,2348617.94,490,1269412.18,1819,1234679.89,1425,481068.9,63,250983.07,115,227780.49,31,74006.61,92,124415.75,188,58485.7,408,63127.83,5387,42147,340,2429.38,669,5272,23,1861.91,5111,405013.87999999995,25079,6589302.530000001
2016-17,2016,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-06-01,8914,2387685.19,493,1293288.45,1826,1207098.68,1434,492991.61,63,250224.47,114,210359.51,31,76044.44,92,128362.11,188,38951.41,412,65743.05,5539,44343,339,2524.07,662,5273,23,1917.17,5250,403990.00999999995,25380,6608796.17
2016-17,2016,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-07-01,8941,2514038.42,493,1327394.13,1835,1301558.73,1428,525872.12,63,258376.26,114,237759.81,31,77717.64,92,132302.7,191,38314.55,420,65654,5642,47646,407,2675.22,660,5475,23,2015.08,35929,413563.45999999996,56269,6950363.119999998
2016-17,2016,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-08-01,8936,2565304.43,502,1342328.69,1858,1309952.74,1442,519620.4,63,263085.04,114,245517.71,31,81053.82,92,197345.29,187,38531.41,427,72182.36,5767,50722,409,2715.58,653,5447,23,2149.57,36015,423778.76999999996,56519,7119734.810000001
2016-17,2016,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-09-01,8915,2556450.18,502,1325421.04,1821,1335175,1447,524930.55,63,260542.98,114,237271.67,29,76612.91,92,201404.78,186,37717.61,430,71519.27,5965,51056,413,2679.45,653,6846,23,2137.31,36162,430971.42,56815,7120736.170000001
