fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,ipos_ipos_mainboard_no_of_issues,ipos_ipos_mainboard_amount_cr,ipos_ipos_sme_platform_no_of_issues,ipos_ipos_sme_platform_amount_cr,ipos_total_no_of_issues,ipos_total_amount_cr,other_than_ipos_fpos_no_of_issues,other_than_ipos_fpos_amount_cr,other_than_ipos_rights_no_of_issues,other_than_ipos_rights_amount_cr,released_on,updated_on,data_source,data_url
2019-20,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,34.452799999999996,0,0,5,34.452799999999996,5,34.452799999999996,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,970.72,2,697.9572000000001,3,37.6328,5,735.59,0,0,2,235.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,440.22,1,409.68300000000005,3,30.537,4,440.22,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,1263.98,2,1245.95,2,18.03,4,1263.98,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,3486.345,0,0,6,56.184999999999995,6,56.184999999999995,0,0,1,3430.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,39.769999999999996,0,0,2,14.28,2,14.28,1,25.489999999999995,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,11313.84,1,10340.8,4,16.26,5,10357.06,0,0,4,956.78,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,13.92,0,0,3,13.92,3,13.92,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),2,53126.659999999996,0,0,1,2.46,1,2.46,0,0,1,53124.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,15910.78,1,496.25,2,14.53,3,510.78,1,15000,1,400,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,6107.75,0,0,2,11.45,2,11.45,0,0,7,6096.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,1671.594477,2,1302.02,1,6.885,3,1308.905,0,0,2,362.689477,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),17,6440.6063,6,5824.89,8,62.25630000000001,14,5887.1463,0,0,3,553.46,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,7070.0352,2,6997.1452,1,1.59,3,6998.7352,0,0,1,71.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,1652.4,2,1350.54,1,2.7,3,1353.24,0,0,1,299.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,5014.62,2,4933.37,0,0,2,4933.37,0,0,1,81.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,6656.5599999999995,5,3654.71,1,3.24,6,3657.95,0,0,1,2998.61,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),19,6453.745560400001,9,6255.023560400001,6,96.722,15,6351.745560400001,1,30,3,72,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),10,3288.2239759999998,2,2952.8732,5,55.7068,7,3008.58,0,0,3,279.643976,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),2,26.12,0,0,1,1.12,1,1.12,0,0,1,25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),10,9549.91866663,4,9122.47,4,23.349999999999998,8,9145.82,0,0,2,404.09866663,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),10,13252.373738094999,5,13183.9513452,3,14.3,8,13198.251345199998,0,0,2,54.122392895000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),15,20546.15,10,20487.11,4,29.54,14,20516.65,0,0,1,29.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),12,3967.92,3,3746.41,8,196.55,11,3942.96,0,0,1,24.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),18,3833.48,2,2939.03736,11,107.96264000000002,13,3047,0,0,5,786.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),17,57360.42032630001,10,36195.7904093,4,109.65,14,36305.440409300005,0,0,3,21054.979917,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),30,18258.216425860002,12,15552.630000000001,8,128.46,20,15681.09,0,0,10,2577.1264258600004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,814.08781456,1,680,4,19.769999999999996,5,699.77,1,15,5,99.31781456,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),13,6943.83,2,6749.19,7,82,9,6831.19,0,0,4,112.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),16,1053.9013156,0,0,10,175,10,175,0,0,6,878.9013156,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),15,4957.419999999999,3,390.03999999999996,6,129.20000000000002,9,519.24,1,4299.999999999999,5,138.18,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),19,32319.127780599996,8,31270.369999999995,6,117.14,14,31387.509999999995,0,0,5,931.6177806000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,280.757437,0,0,11,221.65,11,221.65,0,0,3,59.107437000000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),8,945.05,1,840.13,4,34.379999999999995,5,874.51,0,0,3,70.53999999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),30,2712.043344699999,3,2125.1988317999994,19,288.5372,22,2413.736031799999,0,0,8,298.3073129,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),25,1418.8554250999998,2,809.3799999999999,18,447.47,20,1256.85,0,0,5,162.0054251,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),19,11729.0438145,9,9974.04,6,103.68,15,10077.720000000001,0,0,4,1651.3238145,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),21,5235.176884799999,7,4919.71,11,199.476,18,5119.186,0,0,3,115.9908848,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),21,1121.8266096000002,2,322.94000000000005,10,155.0178,12,477.9578,0,0,9,643.8688096000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),17,570.021,0,0,7,84.932,7,84.932,0,0,10,485.089,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),37,3065.0621,2,567.1000000000001,21,428.46869999999996,23,995.5687,0,0,14,2069.4934000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,1981.2977965999999,2,930.9998425999999,8,179.40764000000001,10,1110.4074825999999,0,0,4,870.8903140000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,7273.549469999999,1,4326.354999999999,7,157.2753,8,4483.630299999999,0,0,6,2789.91917,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),25,1484.4890367,1,606.5000000000001,17,680.0802,18,1286.5802,0,0,7,197.90883670000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),28,4386.9669478,6,3175.2399925,15,434.73560000000003,21,3609.9755925,0,0,7,776.9913552999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),31,6466.6735768,6,4646.34,15,477.9699999999999,21,5124.31,0,0,10,1342.3635768,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),35,9564.909999999998,11,8758.229999999998,20,526.76,31,9284.989999999998,0,0,4,279.92,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),34,5287.919999999996,6,4478.299999999996,24,680.02,30,5158.319999999996,0,0,4,129.6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),30,13543.224107000004,10,13015.674107000004,16,415.37999999999994,26,13431.054107000004,0,0,4,112.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),33,9571.779999999999,12,8931.779999999999,19,601.9999999999999,31,9533.779999999999,0,0,2,38,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),25,3612.2481,4,2955.6803,18,463.0478,22,3418.7281,0,0,3,193.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),35,15642.6889287,9,6919.71,20,764.39818,29,7684.10818,0,0,6,7958.580748699999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),36,4276.7682764,8,3115.0380764,17,714.3902,25,3829.4282764,1,27,10,420.34000000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),35,25370.5668319,3,5054.67,23,672.7085199999999,26,5727.37852,1,17999.9999993,8,1643.1883126000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),39,12338.348963,5,9606.130443,21,527.21852,26,10133.348963,0,0,13,2205,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),38,3571.198,5,1957.28,17,563.3380000000001,22,2520.618,0,0,16,1050.58,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),42,9001.100853099999,5,4878.179975499999,25,1182.00672,30,6060.1866955,1,149.99,11,2790.9241575999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),43,18815.442833906003,8,14700.324714800003,25,768.9957799999999,33,15469.320494800002,0,0,10,3346.122339106,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),58,16883.4016,13,14824.58,34,1388.3015999999998,47,16212.8816,0,0,11,670.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),47,35653.238629039995,7,33758.99,22,1224.30272,29,34983.29272,0,0,18,669.94590904,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),18,36265.54874220001,8,35728.850000000006,4,119.77120000000001,12,35848.62120000001,0,0,6,416.9275422,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),48,31118.61736622,15,26024.73,19,1006.1799999999998,34,27030.91,0,0,14,4087.70736622,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),44,3620.5072394,6,2078.2116868,22,987.3496799999999,28,3065.5613667999996,0,0,16,554.9458726,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),31,15513.1075465,4,13904.875294,17,840.45244,21,14745.327733999999,0,0,10,767.7798124999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),21,2038.78752778,0,0,12,530.5513199999999,12,530.5513199999999,0,0,9,1508.23620778,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
