fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,ipos_ipos_mainboard_no_of_issues,ipos_ipos_mainboard_amount_cr,ipos_ipos_sme_platform_no_of_issues,ipos_ipos_sme_platform_amount_cr,ipos_total_no_of_issues,ipos_total_amount_cr,other_than_ipos_fpos_no_of_issues,other_than_ipos_fpos_amount_cr,other_than_ipos_rights_no_of_issues,other_than_ipos_rights_amount_cr,released_on,updated_on,data_source,data_url
2014-15,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,233.2095411,1,120.00002669999999,9,80.52,10,200.5200267,0,0,1,32.6895144,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,630.1339848,0,0,2,6.5,2,6.5,0,0,2,623.6339848,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,389.775333,1,350.43,3,29.4,4,379.83,0,0,1,9.945333,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,14.9732,0,0,2,7.21,2,7.21,0,0,1,7.7632,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,1590.840241375,0,0,1,2.58,1,2.58,0,0,3,1588.260241375,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,483.84464,1,174.71000000000004,5,33.059999999999995,6,207.77000000000004,0,0,1,276.07464,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),10,3943.0343190999993,3,1862.4783264999996,4,9.139999999999999,7,1871.6183264999997,0,0,3,2071.4159925999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,8902.9260689,3,1412.44,,,3,1412.44,0,0,2,7490.4860689,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),1,4.63,0,0,1,4.63,1,4.63,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,442.5180000000001,1,400.00000000000006,9,42.42,10,442.4200000000001,0,0,1,0.098,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,989.235999,2,823.216,4,66.02,6,889.236,0,0,1,99.999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,1700.277,5,1673.847,4,26.43,9,1700.277,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,42.615,0,0,9,42.615,9,42.615,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),8,5574.8981475,3,4675.27,1,5.7684,4,4681.0384,0,0,4,893.8597475,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,2049.1238273999998,2,1978.5299999999997,2,25.41,4,2003.9399999999998,0,0,1,45.1838274,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,626.0160000000001,1,613.08,2,12.936,3,626.0160000000001,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,1473.6799985,3,1285.1200099,6,34.78,9,1319.9000099,0,0,2,153.7799886,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,682.49,1,649.64,4,32.849999999999994,5,682.49,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),12,2934.4999929999994,3,2696.68,8,33.720000000000006,11,2730.3999999999996,0,0,1,204.099993,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,2569.4399283000002,3,2112.2297658,4,47.04,7,2159.2697658,0,0,2,410.1701625,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,124.75507662499999,0,0,3,49.76,3,49.76,0,0,1,74.995076625,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),9,2712.45,3,2675,6,37.45,9,2712.45,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),5,2529.0008000000003,4,2517.7808000000005,1,11.22,5,2529.0008000000003,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,7205.2087272,3,7081.6013372,10,115.9152,13,7197.5165372,0,0,1,7.69219,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),21,1697.4782052,2,1522.7347302,18,131.31959999999998,20,1654.0543302,0,0,1,43.423875,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),3,4125.436,2,4112.5,1,12.936,3,4125.436,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,2538.929594,1,1830.5184320000003,3,19.8156,4,1850.3340320000002,1,9.989999999999782,2,678.6055620000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),4,50.108000000000004,0,0,4,50.108000000000004,4,50.108000000000004,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,1398.46509285,1,1243.43,4,55.282000000000004,5,1298.712,0,0,2,99.75309285,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),23,4597.5969547,3,2597.4806484,18,245.13356,21,2842.6142084000003,0,0,2,1754.9827463000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),16,721.9487350000002,1,345.00134000000014,12,126.576,13,471.57734000000016,0,0,3,250.371395,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),13,2654.7131235999996,3,2149.8067939999996,8,137.3654,11,2287.1721939999998,0,0,2,367.5409296,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),7,3087.4325324,3,3041.8407324,4,45.591800000000006,7,3087.4325324,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),15,2637.903317399999,3,2433.266511399999,11,84.923,14,2518.189511399999,0,0,1,119.713806,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,2550.2119060000005,2,2222.51,11,128.7348,13,2351.2448000000004,0,0,1,198.967106,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),18,8083.0821157,6,7950.5979157,12,132.4842,18,8083.0821157,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
