fiscal_year,month,month_numeric,data_from_table,upgraded_no,upgraded_amount_cr,downgraded_no,downgraded_amount_cr,reaffirmed_no,reaffirmed_amount_cr,rating_watch_no,rating_watch_amount_cr,withdrawn_suspended_no,withdrawn_suspended_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2014-15,September,9,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),89,19294.550000000003,42,22893.89,451,1151409.3299999998,1,1280,42,2379.02,625,1197256.7899999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),17,5734.129999999999,4,1020,129,405405.6,4,13080,23,2966.02,177,428205.75,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),19,4850.57,15,10214.45,118,705331.29,1,2000,31,3641.4199999999996,184,726037.7300000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),33,18908.47,35,22257.68,196,292352.50399999996,4,3212,41,12820.24,309,349550.894,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),29,3197.98,20,9289.560000000001,63,238132.72,0,0,27,3089.5,139,253709.76,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),28,7292.9400000000005,6,1272.4,80,708680.9873,1,500,32,6948.64,147,724694.9673,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),24,8897.11,11,14790,105,463459.98,2,2559.8599999999997,33,4395.24,175,494102.18999999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),4,985.37,6,3955,65,670670.6,0,0,17,6059.46,92,681670.4299999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),77,13668.44,39,3172.5,41,614414.3728,11,6739.5,24,4092.11,192,642086.9228,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),12,24723.809999999998,15,8790.33,265,800730.1,2,1580,41,8982.95,335,844807.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),38,31187.14,23,17042.33,113,492890.79999999993,2,1300,47,12328.63,223,554748.8999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),48,12999.289999999995,9,4996.8,195,325508.58259999997,1,500,39,4003.99,292,348008.6625999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),42,5928.69,83,39867.81,568,1341820.6500000001,3,1400,56,8216.19,752,1397233.34,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),46,2119.0099999999998,11,15086.75,81,257821.28000000003,1,10,69,48184.46,208,323221.50000000006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),5,1914.21,16,20129.02,81,257982.7426,1,1280,13,1356.62,116,282662.5926,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
