fiscal_year,month,month_numeric,data_from_table,upgraded_no,upgraded_amount_cr,downgraded_no,downgraded_amount_cr,reaffirmed_no,reaffirmed_amount_cr,rating_watch_no,rating_watch_amount_cr,withdrawn_suspended_no,withdrawn_suspended_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2021-22,March,3,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),71,37113.6,13,4358.18,823,3661865.72,12,7425.9,108,54490.5,1027,3765253.9,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),8,2786.68,4,3730.5,445,1222231.72,10,1385,83,45730.27,550,1275864.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),25,3566.32,8,3203.4,360,1523730.06,17,14337.5,89,37907.4676,499,1582744.7476000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),61,15227.29,7,1896.22,400,2313397.59,4,1464.3,82,17852.53,554,2349837.9299999992,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),30,4346.47,7,625.57,463,561197.9,2,364,91,23084.84,593,589618.78,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),74,53829.22,62,42127.18,621,1191796,8,3049.8,134,128462.3,899,1419264.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),39,116373,48,28791.35,88,20142.52,31,2765.28,20,6768.51,226,174840.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),76,22332.78,24,8400.87,584,529154.23,11,243.44,84,14609,779,574740.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),30,5939.35,21,6909.68,571,1275325.33,8,2337,104,28328.155,734,1318839.5150000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),51,10760.460000000001,32,4694.12,854,717278.7300000001,17,6077.88,104,24289.09,1058,763100.28,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),18,5236.3,1,19.5,576,992248.0429999998,8,385,47,20772.9,650,1018661.7429999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),11,2743.19,10,1175.44,1095,3340045.45,16,2152.01,75,59859.100000000006,1207,3405975.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),37,26546.170000000002,27,6306.82,1096,4423945.029999999,3,277.1,128,46998.77,1291,4504073.889999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),17,6525.88,16,4839.68,563,1938191.2200000002,36,13100,77,48942.77,709,2011599.5500000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),101,67452.91999999998,21,8500.23,584,2215716.111,12,2298,96,41223.2,814,2335190.461,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),113,30889.09,12,3333,878,2381727.529,3,850,150,65287.715000000004,1156,2482087.334,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),35,15309.619999999999,21,7799.2,646,2256876.735,7,2269.46,142,691406.49,851,2973661.505,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
