fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,gross_purchases_rupees_crore,gross_sales_rupees_crore,net_investment_rupees_crore,net_investment_usd_mn,cumulative_net_investment_usd_mn
2020-21,2020,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-07-01,151569.69,148268.25,3301.44,450.99,246063.26000000007
2020-21,2020,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-08-01,177960.26,128081.31,49878.95,6661.85,252725.11000000007
2020-21,2020,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-09-01,168469.44,169665.82,-1196.38,-156.61,252568.5000000001
2020-21,2020,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-10-01,157460.03,135633.9,21826.13,2974.36,255542.86000000007
2020-21,2020,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-11-01,223150.05,160368.3,62781.75,8457.83,264000.69000000006
2020-21,2020,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-12-01,289810.1,218763.63,71046.47,9647.23,273647.92000000004
2020-21,2021,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-01-01,188005.28,173374.07,14631.21,1998.48,275646.4
2020-21,2021,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-02-01,214968.18,190955.44,24012.74,3292.72,278939.12
2020-21,2021,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-03-01,251832.12,234809.48,17022.64,2346.15,281285.27
2021-22,2021,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-04-01,165633.63,174469.53,-8835.9,-1185.63,280099.64
2021-22,2021,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-05-01,193645.45,195603.25,-1957.8,-257.72,279841.92000000004
2021-22,2021,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-06-01,198438.54,185464.57,12973.97,1783.27,281625.19000000006
2021-22,2021,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-07-01,149309.91,156719.9,-7409.99,-991.79,280633.4000000001
2021-22,2021,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-08-01,201290.27,184734.32,16555.95,2232.58,282865.9800000001
2021-22,2021,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-09-01,273340.35,245584.64,27755.71,3776.97,286642.95000000007
2021-22,2021,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-10-01,220263.23,232700.15,-12436.92,-1657.67,284985.2800000001
2021-22,2021,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-11-01,221233.58,223754.34,-2520.76,-329.18,284656.1000000001
2021-22,2021,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-12-01,218844.41,248546.6,-29702.19,-3937.73,280718.3700000001
2021-22,2022,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-01-01,164056.21,192582.51,-28526.3,-3815.01,276903.3600000001
2021-22,2022,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-02-01,153994.17,192062.19,-38068.02,-5074.82,271828.5400000001
2021-22,2022,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-03-01,227326.31,277393.89,-50067.58,-6561.63,265266.9100000001
2022-23,2022,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-04-01,181281.26,203969.63,-22688.37,-2960.72,262306.1900000001
2022-23,2022,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-05-01,183815.7,220333.56,-36517.86,-4729.73,257576.4600000001
2022-23,2022,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-06-01,174926.4,226348.43,-51422.03,-6591.67,250984.7900000001
2022-23,2022,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-07-01,174610.73,172639.4,1971.33,238.98,251223.7700000001
2022-23,2022,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-08-01,218843.05,162321.95,56521.1,7107.39,258331.16000000012
2022-23,2022,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-09-01,223480.31,227435.62,-3955.31,-436.54,257894.6200000001
2022-23,2022,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-10-01,200230.53,203310.65,-3080.12,-375.82,257518.8000000001
2022-23,2022,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-11-01,216483.97,182636.71,33847.26,4137.73,261656.53000000012
2022-23,2022,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-12-01,203276.44,194105.76,9170.68,1122.18,262778.71000000014
2022-23,2023,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-01-01,171227.63,197771.38,-26543.75,-3232.69,259546.02000000014
2022-23,2023,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-02-01,180160.03,184299.15,-4139.12,-501.23,259044.79000000012
2022-23,2023,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-03-01,213857.66,207958.45,5899.21,711.94,259756.73000000013
2023-24,2023,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-04-01,156391.94,142847.15,13544.79,1654.56,261411.29000000012
2023-24,2023,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-05-01,222890.68,174561.13,48329.55,5878.03,267289.3200000001
2023-24,2023,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-06-01,333177.03,276919.33,56257.7,6846.63,274135.9500000001
2023-24,2023,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-07-01,268564.62,220587.54,47977.08,5843.66,279979.6100000001
2023-24,2023,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-08-01,264451.33,246113.51,18337.82,2213.99,282193.6000000001
2023-24,2023,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-09-01,283789.08,297599.47,-13810.39,-1659.7,280533.9000000001
2023-24,2023,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-10-01,235296.26,253171.72,-17875.46,-2147.95,278385.95000000007
2023-24,2023,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-11-01,240486.98,215940.57,24546.41,2946.43,281332.38000000006
2023-24,2023,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-12-01,415036.14,330498.71,84537.43,10149.2,291481.5800000001
2023-24,2024,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-01-01,362728.2,369321.54,-6593.34,-791.23,290690.3500000001
2023-24,2024,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-02-01,372755.96,340939.13,31816.83,3834.03,294524.3800000001
2023-24,2024,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-03-01,461928.44,409932,51996.2,6276.44,300808.43
2024-25,2024,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-04-01,360879.1,377139.12,-16260,-1944.68,298863.75000000006
2024-25,2024,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-05-01,371456.14,384367,-12911,-1540.86,297322.8900000001
2024-25,2024,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-06-01,535577.6200000001,493820.18,41757,5007.179999999999,302330.07000000007
2024-25,2024,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-07-01,436258.05,387462.01,48796,5839.71,308169.7800000001
2024-25,2024,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-08-01,413096.57,387603,25493,3039.45,311209.2300000001
2024-25,2024,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-09-01,564317.74,470780.11,93538,11162.19,322371.4200000001
2024-25,2024,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-10-01,381434.1,477791.73,-96358,-11472.74,310898.6800000001
2024-25,2024,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-11-01,394281.85,415725.85,-21444,-2540.79,308357.89000000013
2024-25,2024,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-12-01,412345.94,386407.6,25938,3069.95,311427.84
2024-25,2025,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-01-01,308491.99,385703.02,-77211,-8962.58,302465.26
2024-25,2025,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-02-01,311401.45,335702.08,-24301,-2796.99,299668.27
2024-25,2025,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-03-01,427274.1,394292.74,32981,3844.93,303513.2
