fiscal_year,year,month,month_numeric,data_from_table,nsdl_no_of_issuers_that_have_made_their_securities_available_for_dematerialization,nsdl_no_of_depository_participants_registered,nsdl_dps_locations,nsdl_beneficial_owner_accounts_number_other_than_closed_excluding_cm_accounts,nsdl_demat_value_crore,nsdl_demat_quantity_securities_in_crore,cdsl_no_of_issuers_that_have_made_their_securities_available_for_dematerialization,cdsl_no_of_depository_participants_registered,cdsl_dps_locations,cdsl_beneficial_owner_accounts_number_other_than_closed_excluding_cm_accounts,cdsl_demat_value_crore,cdsl_demat_quantity_securities_in_crore,released_on,updated_on,data_source,data_url
2021-22,2021,April,4,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,34493,278,35961,21862446,24691446.758,252114.55699999997,16569,590,21106,35067165,2799146.57,48191.142,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,May,5,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,34659,277,36123,22151535,26106952.114,253720.333,16669,592,21193,37462176,3055154,48401.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,June,6,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,34888,278,36113,22505011,26741904.656,259394.76499999998,16778,588,21205,39646427,3186026.3,49562.242,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,July,7,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,35204,278,36117,22877456,27280775.467,262899.45,16905,588,21229,41985060,3290852.47,50219.947,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,August,8,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,35549,276*,36133,23288133,28738628.362852357,265511.112,17101,586,21326,44095901,3354087.45,50927.093,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,September,9,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,35847,276,36096,23750484,29591816.394,268794.709,17304,591,21422,46461333,3520921.57,51262.242,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,October,10,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,36081,277,36114,24199645,29481978.707,268138.00800000003,17451,591,21431,49597945,3630630.38,52024.861,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,November,11,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,36306,277,36123,24591320,29445482.763,265163.031,17586,592,21434,52632499,3590724.51,52366.882,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,December,12,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,36568,277,36184,25020364,30121534,265303.923,17748,592,21448,55562237,3693975.2485,53302.258492886904,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,January,1,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,36840,278,36173,25478785,30006876.392649777,267018.719,17896,593,21472,58492778,3790083.7479,53892.39267657602,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,February,2,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,37104,276,57013,26064317,29072241.99819251,269124.731,18060,584,21541,60757963,3567651.510100001,54192.240325589504,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,March,3,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,37478,277,57026,26679035,30187555.842,277352.752,18268,584,21728,62992286,3717277.5201,56756.678131559594,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,April,4,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,37752,276,57054,27073254,30507868.768,283150.629,18410,588,21739,65030801,3729607.64,57858.795,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,May,5,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,38115,277,57112,27605102,29754854.65,285496.319,18613,583,21145,67151139,3580617.63,58152.592000000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,June,6,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,38464,277,57140,27997232,28516153.41,290646.424,18798,585,20711,68527401,3384107.1435000002,58476.582963092704,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,July,7,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,38801,278,57262,28426984,30672415.288,298278.65,18990,583,20376,69898897,3689733.13,59194.629,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,August,8,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,38989,278,57489,28855126,31965844.456,300740.8,19147,583,19950,71646146,3848483.195,59511.15705,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,September,9,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,39281,278,58515,29250515,31257032.998845622,306007.769,19301,586,20239,73349501,3796947.426,58761.85736,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,October,10,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,39494,279,58519,29553242,32009992.454,310540.441,19406,581,20253,74806109,3954416.688,59276.24192,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,November,11,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,39768,282,58553,29923472,32878056.641,313054.831,19547,584,20261,76240545,4099064,59466.1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,December,12,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,40087,282,58866,30370084,33190050.1995139,316951.329,19724,585,20269,77890033,4134643.75,60121.85926,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,January,1,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,40372,284,58939,30778713,32145401.1587703,315827.3471518664,19923,585,20288,79673758,4006221.3494,60392.98800661099,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,February,2,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,40652,284,58956,31163393,30136161.156302787,316348.5743072591,20083,587,20304,81368591,3878900.0039,60792,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,March,3,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,40987,283,59401,31458313,30218889.593692493,322433.0988795157,20323,588,18676,82997308,3971126.904,61285.0538574561,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,April,4,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,41234,283,59651,31681382,31351759.861303702,326406.5266115848,20418,588,17134,84361028,4238439.9097,61923.753391013204,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,May,5,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,41517,283,59668,31986686,32494958.458529048,330427.39439271967,20586,586,17131,86160670,4444450.1591,61986.2782878047,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,June,6,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,41855,284,59682,32338745,33739255.60638757,332867.26174846466,20759,588,17143,88167083,4529067.781699999,62317.1518654322,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,July,7,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,42097,284,59684,32759408,34576522.62381917,336241.3681327849,20915,588,17190,90727410,4748609.582199999,62629.630232309006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,August,8,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,42355,282,60442,33120785,34859167.70461489,341251.2958114997,21084,587,17112,93473405,4817237.363499999,62262.0010068091,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,September,9,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,42643,284,60435,33468365,35562253.606618315,344909.62146183866,21236,585,17445,96195906,5087152.969199999,62728.441537963794,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,October,10,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,42999,283,61535,33800349,34958006.00474255,349231.59675238526,21458,585,17443,98537454,4996613.0768,63148.88062311111,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,November,11,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,43376,284,61295,34149795,37122261.24082515,349495.1311038047,21640,585,17379,100968764,5366738.439499999,63697.89482625709,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,December,12,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,43957,284,61298,34579427,39802507.6014237,350962.2633960228,21909,583,17400,104717903,5779649.1907,64205.4379335734,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,January,1,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,44427,283,61585,35060904,41410370.368,367582.633,22252,582,17448,108840794,6218817.334,65090.92361,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,February,2,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,45096,281,61650,35468889,42257748.491,372506.195,22382,582,17473,112779491,6451299.039,65277.10816,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,March,3,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,46015,281,61665,35770759,42344187.61,377329.92799999996,23060,580,17487,115602163,6420627.628,66146.3297,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,April,4,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,46792,282,62763,36057706,43957388.062,386090.575,23560,578,17644,118391409,6922743.2829,67064.2355818861,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,May,5,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,48397,282,62492,36421904,44576101.506,392736.621,24093,577,17661,121628451,6973608.2975,68355.4593685888,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,June,6,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,49661,285,62513,36793918,47074465.241,398269.082,24858,573,17671,125494403,7350540,68996.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,July,7,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,51301,285,62525,37203973,49073775.345,403200.11600000004,25718,572,17683,129633061,7735271.712,70310.5475621867,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,August,8,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,53691,285,62832,37629368,40650203.1,494845.1104400001,26770,569,17696,133435655,7791717.445,71851.7656568502,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,September,9,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,56662,289,63165,38089587,50611775.154,414871.706,28331,569,17830,137337476,7826208.669,73389.24110811851,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,October,10,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,59197,289,63140,38447026,48280598.34,419619.573,29366,569,17860,140431102,7433486.516,74933.5483136024,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,November,11,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,61236,289,63343,38793920,43167867.116,427651.5,30365,574,17863,143252891,7455060.896,76224.4228220001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,December,12,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,64535,289,63542,38768353,48443999.129,442728.13,31557,576,17883,146535315,7457215.076,77855.0259065196,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,January,1,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,69159,290,63554,38817706,47038914.4,462365.837,32952,575,17835,149319127,7218283.175,80522.98588479121,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,February,2,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,74160,291,63501,39161771,43815470.727,466103.485,34349,577,17829,151236779,6541182.879,81444.20373572301,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,March,3,Table 50: Dematerialisation Statistics of Listed Companies & Unlisted Companies,79773,294,65391,39452405,46416403.963999994,475869.3,35922,574,18918,152984202,7052401.879,83598.88795658371,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
