fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,category_i_equity,category_i_debt,category_i_debt_vrr,category_i_debt_far,category_i_mf_aifs,category_i_hybrid,category_i_total,category_ii_equity,category_ii_debt,category_ii_debt_vrr,category_ii_debt_far,category_ii_mf_aifs,category_ii_hybrid,category_ii_total,category_iii_equity,category_iii_debt,category_iii_debt_vrr,category_iii_hybrid,category_iii_total
2020-21,2020,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-04-01,2240287,251080,41984,,,12792,2546143,181797,65188,23934,,,1721,272638,0,0,0,0,0
2020-21,2020,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-05-01,2221015,230515,42641,,,12370,2506538,146633,63121,24709,,,1744,236205,0,0,0,0,0
2020-21,2020,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-06-01,2445006,230471,48523,,,14465,2738468,152853,61370,24053,,,1852,240126,0,0,0,0,0
2020-21,2020,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-07-01,2632752,230175,48728,,,15181,2926836,154943,59045,24044,,,1785,239815,0,0,0,0,0
2020-21,2020,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-08-01,2769884,227450,52781,,,18624,3068737,164235,57133,24543,,,1853,247766,0,0,0,0,0
2020-21,2020,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-09-01,2775806,229331,53449,,,20903,3079488,160579,54888,24490,,,1757,241712,0,0,0,0,0
2020-21,2020,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-10-01,2879804,233333,54837,,,20537,3188512,165755,54128,24938,,,1754,246573,0,0,0,0,0
2020-21,2020,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-11-01,3263058,233053,57241,,,20658,3574014,193214,53247,27339,,,1755,275554,0,0,0,0,0
2020-21,2020,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-12-01,3573535.5600000015,235758.78999999998,60375.46999999999,,,24017.430000000004,3893687.250000002,204352.2500000001,53297.73999999999,27740.04,,,1911.7800000000002,287301.8100000001,0,0,0,0,0
2020-21,2021,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-01-01,3516731.6499999994,231095.90000000002,56085.13999999999,,,24926.45,3828839.1399999997,197958.67999999996,53951.92999999998,31694.000000000007,,,1901.6100000000004,285506.2199999999,0,0,0,0,0
2020-21,2021,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-02-01,3795211.810000001,225182.60000000006,58071.13,,,24083.200000000008,4102548.740000001,213056.43999999994,53686.82999999999,34064.94,,,1865.9199999999998,302674.1299999999,0,0,0,0,0
2020-21,2021,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-03-01,3847592.9400000004,217471.13999999998,61161.64,,,23995.309999999998,4150221.0300000007,210952.84,53337.96000000001,45118.340000000004,,,1883.7600000000002,311292.9,0,0,0,0,0
2021-22,2021,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-04-01,3838649.33,215777.86000000004,61438.20999999999,,,24052.799999999996,4139918.1999999997,212337.16999999998,52901.43,45443.73000000001,,,1881.0999999999997,312563.42999999993,0,0,0,0,0
2021-22,2021,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-05-01,4093701.250000002,214161.55,62599.33999999999,,,26428.750000000004,4396890.8900000015,226214.02000000002,53294.229999999996,45908.88,,,1909.57,327326.7,0,0,0,0,0
2021-22,2021,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-06-01,4175058.71,210982.86,65875.83999999998,,,26839.19000000001,4478756.600000001,221477.09,52050.01,44023.380000000005,,,1896.1400000000003,319446.62,0,0,0,0,0
2021-22,2021,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-07-01,4205085.37,210375.26000000007,70673.79999999999,,,27616.640000000003,4513751.069999999,222783.55000000002,51762.11,44167.27,,,1906.0600000000002,320618.99000000005,0,0,0,0,0
