fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,category_i_equity,category_i_debt,category_i_debt_vrr,category_i_debt_far,category_i_mf_aifs,category_i_hybrid,category_i_total,category_ii_equity,category_ii_debt,category_ii_debt_vrr,category_ii_debt_far,category_ii_mf_aifs,category_ii_hybrid,category_ii_total,category_iii_equity,category_iii_debt,category_iii_debt_vrr,category_iii_hybrid,category_iii_total
2023-24,2023,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-06-01,4861383,212577,72761,,,28819,5175540,273952,33641,75245,,,1700,384537,0,0,0,0,0
2023-24,2023,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-07-01,5033780,215086,72501,,,29207,5350573,287278,33516,76890,,,1804,399488,0,0,0,0,0
2023-24,2023,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-08-01,5041699,221716,71514,,,29797,5364727,282888,34238,76017,,,1754,394896,0,0,0,0,0
2023-24,2023,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-09-01,5118697,221892,72653,,,30843,5444085,286118,34432,75458,,,1765,397772,0,0,0,0,0
2023-24,2023,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-10-01,4955994,226426,72755,,,30754,5285928,277325,34370,76173,,,1819,389686,0,0,0,0,0
2023-24,2023,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-11-01,5322987,239464,73338,,,30785,5666573,295358,35350,75855,,,1885,408448,0,0,0,0,0
2023-24,2023,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-12-01,5801319,256700,73751,,,34095,6165867,325385,36950,72603,,,3059,437997,0,0,0,0,0
2023-24,2024,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-01-01,5867743,274819,75771,,,35432,6253766,331708,37430,70734,,,3356,443228,0,0,0,0,0
2023-24,2024,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-02-01,5991812,296451,74954,,,43072,6406287,335884,37316,72001,,,3527,448732,0,0,0,0,0
2023-24,2024,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-03-01,6076800,310065,77235,,,39834,6503937,338922,36868,70722,,,3539,450050,0,0,0,0,0
2024-25,2024,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-04-01,6253160,295577,81038,,,39654,6669431,374516,36835,71487,,,3513,486352,0,0,0,0,0
2024-25,2024,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-05-01,6264090,303995,86270,,,42934,6697287,376520,36490,73749,,,3410,490170,0,0,0,0,0
2024-25,2024,June,6,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-06-01,6751374,316044,87597,,,40847,7195860,393081,38422,72118,,,9365,512987,0,0,0,0,0
2024-25,2024,July,7,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-07-01,7053327,334719,87411,,,41985,7517441,405954,39879,66254,,,9454,521541,0,0,0,0,0
2024-25,2024,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-08-01,7165587,159933,86537,198863,10248,42972,7664140,387990,22967,66548,10347,184,9704,497740,0,0,0,0,0
2024-25,2024,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-09-01,7394221,161029,93465,219680,11063,46648,7926106,402049,21799,68941,10865,443,9805,513902,0,0,0,0,0
2024-25,2024,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-10-01,6733218,156473,95969,219146,10819,48592,7264217,375021,21108,68170,11185,517,9955,485956,0,0,0,0,0
2024-25,2024,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-11-01,6810944,158468,97985,214284,11101,47136,7339918,377047,20890,68131,11790,577,9691,488126,0,0,0,0,0
2024-25,2024,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-12-01,6751117,161078,97051,225614,10830,45040,7290730,368323,21029,61486,12541,582,9690,473651,0,0,0,0,0
2024-25,2025,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-01-01,6426580,155575,103369,231027,10302,45408,6972261,349755,21609,61854,13788,509,9727,457242,0,0,0,0,0
2024-25,2025,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-02-01,5916186,150861,104379,240470,9617,44573,6466086,322283,21464,61425,14343,515,9667,429697,0,0,0,0,0
2024-25,2025,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-03-01,6331414,161168,106091,268432,9981,43645,6920731,349065,21174,59986,15196,691,9647,455759,0,0,0,0,0
