fiscal_year,city,data_from_table,released_on,updated_on,data_source,data_url,gross_inflows_inr_crore,net_inflows_inr_crore,aum_as_on_march_31_inr_crore
2022-23,Vadodara,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,19106.380136248757,2370.991662574038,33924.49425152331
2023-24,Vadodara,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,27750.107003421916,3844.135737252005,48395.23212985824
2024-25,Vadodara,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,33760.589078248515,5277.482715466326,57526.42633310939
2014-15,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7512.540981460837,966.4720329089114,6578.051218177121
2015-16,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,9958.832355501148,1119.949825983063,6830.127229478394
2016-17,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,14317.042729841176,2272.643103903068,10362.318723486815
2017-18,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,17983.59423280129,2571.1006545517625,13204.23189518954
2018-19,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,20938.95,1978.1999999999998,15720.810000000001
2019-20,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,21500.795076142906,989.9644228412083,13814.976083336293
2020-21,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,13910,366,20387
2021-22,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,13465.620277096417,1265.7741410390843,25220.686513810346
2022-23,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11958.983021804073,2095.577001172212,26958.06125047568
2023-24,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,16807.224079407053,3728.2741858696263,40710.40251766859
2024-25,Surat,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,27331.360638985614,5353.37551577379,50450.86517873815
2014-15,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4717.221488626382,435.2153201846419,6357.605606431299
2015-16,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4234.565073031986,836.9351872277657,6932.141944216488
2016-17,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7313.957074846243,1453.559306127292,9766.482690347015
2017-18,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,9680.506398017153,1776.508732632706,12052.4363194323
2018-19,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7903.5,668.66,12901.390000000001
2019-20,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7638.633066116079,-278.3110414329684,10725.493531420236
2020-21,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,10012,82,15175
2021-22,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11388.66980820925,1718.9561181848876,18865.109226286186
2022-23,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11128.812091200385,981.0099932666375,19889.5944419026
2023-24,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11523.523774324265,1569.3394601477698,27780.596007160868
2024-25,Kanpur,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,14083.52889385766,2993.7911646910156,32678.91400218902
2014-15,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,12330.836989794698,-337.25777947073595,5832.596863369668
2015-16,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,5243.894398801469,495.3913454335544,5825.715642492957
2016-17,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,5618.194028072387,2117.726255247224,7903.848613517633
2017-18,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4876.78105081627,1046.9974380558592,6575.037571285378
2018-19,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2796.33,201.73,5062.84
2019-20,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2738.824203235549,-246.55251447506893,4354.378132224986
2020-21,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2766,25,5779
2021-22,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3060.146320598041,102.69602087249365,6594.148959723779
2022-23,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3180.2925295157984,293.77836461236166,6325.72047558745
2023-24,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3650.5635018750877,311.28239785703164,8459.208084799611
2024-25,Panaji,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4783.147003899383,78.94219179348434,9304.379977796776
2014-15,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3005.93099769536,637.5108764162294,5966.162924364733
2015-16,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3704.219981171802,1288.6963675951986,6865.751206304902
2016-17,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4783.283153552544,1627.9057686616557,9614.44526944847
2017-18,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7209.415539842558,3120.984191597987,12418.35035522436
2018-19,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,6503.65,1843.2599999999998,14602.61
2019-20,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7858.77602092284,1025.0619927982605,13049.99746854144
2020-21,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7291,584,19201
2021-22,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,10325.228209229344,2585.05120421867,24392.49686526609
2022-23,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,8739.36537584501,2038.950622218157,26552.194464094093
2023-24,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,9855.496325032902,2443.130775883592,37557.569935275955
2024-25,Lucknow,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,14613.187577276312,5227.4871520303295,45540.141318200884
2014-15,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3851.90433704709,141.75282974115441,5604.114636658707
2015-16,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,8212.014001433869,811.2218430106301,6572.24940903523
2016-17,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,9453.59599070649,1841.9915298012118,9466.531119925809
2017-18,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,8953.768904540848,2604.6099737567765,11087.210493331222
2018-19,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,32888.71,479.09000000000003,9826.4
2019-20,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,26942.690105249083,139.80424882478584,8554.326647113496
2020-21,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7707,-550,13258
2021-22,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7888.162722900468,776.3457903388073,16290.34519001389
2022-23,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,6441.92038586143,521.3617880211319,13824.867356287295
2023-24,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,8763.262307856967,1139.667377370267,19310.838105580646
2024-25,Chandigarh,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11473.854075523606,1943.4545094697437,22892.627863960697
2014-15,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,345882.9153136483,22330.427103413625,155871.96841717738
2015-16,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,432839.43198156526,32945.05220534023,191718.53832321908
2016-17,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,592032.6595350825,60793.113379527545,291301.5599242966
2017-18,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,854034.8234921707,82709.86987677748,400012.71028812043
2018-19,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1303883.12,52496.81,606541.31
2019-20,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1522430.0624712813,32113.16229049712,538244.624400467
2020-21,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,854955,12392,938736
2021-22,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,890882.8810410706,83042.67918339715,1166867.3976263213
2022-23,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,955581.8187329334,88114.00866609556,1318782.6446940461
2023-24,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1221078.74775264,130707.94238520645,1887948.582076269
2024-25,Other Cities,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1703906.2438896068,311765.9724656864,2327050.687703938
2014-15,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11086259.596611086,103287.61618215797,1082757.2867613551
2015-16,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,13765555.05689153,134180.5321767356,1232823.5256606508
2016-17,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,17615548.869748347,343048.90479930805,1754619.080106008
2017-18,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,20998651.95852315,271796.61672883626,2136035.7528338144
2018-19,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,24394374.09,109701.32,2379584.13
2019-20,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,18813457.75356214,87300.82122535266,2226202.8815891217
2020-21,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,8639167,214755,3142764
2021-22,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,9317504.55663386,246729.58915680804,3756682.5932686944
2022-23,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,10507357.084787525,76225.43675061956,3942030.6715731453
2023-24,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,11448214.785831995,354701.3119586275,5340194.668106889
2024-25,Total,Table 59 City-wise Resource Mobilisation and Assets Under Management of Mutual Funds (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,13703350.946737502,815115.4240438768,6574287.272083091
