fiscal_year,year,month,month_numeric,data_from_table,depository,debt_listed_no.of_issuers_debt,debt_listed_no.of_active_instruments,debt_listed_demat_quantity_lakh,debt_listed_demat_value_rs_crore,debt_listed_quantity_settled_during_the_month_lakh,debt_listed_value_settled_during_the_month_rs_crore,debt_unlisted_no.of_issuers_debt,debt_unlisted_no.of_active_instruments,debt_unlisted_demat_quantity_lakh,debt_unlisted_demat_value_rs_crore,debt_unlisted_quantity_settled_during_the_month_lakh,debt_unlisted_value_settled_during_the_month_rs_crore,equity_listed_no.of_companies,equity_listed_no.of_active_instruments,equity_listed_demat_quantity_lakh,equity_listed_demat_value_rs_crore,equity_listed_quantity_settled_during_the_month_lakh,equity_listed_value_settled_during_the_month_rs_crore,equity_unlisted_no.of_companies,equity_unlisted_no.of_active_instruments,equity_unlisted_demat_quantity_lakh,equity_unlisted_demat_value_rs_crore,equity_unlisted_quantity_settled_during_the_month_lakh,equity_unlisted_value_settled_during_the_month_rs_crore,others_listed_no.of_issuers,others_listed_no.of_active_instruments,others_listed_demat_quantity_lakh,others_listed_demat_value_rs_crore,others_listed_quantity_settled_during_the_month_lakh,others_listed_value_settled_during_the_month_rs_crore,others_unlisted_no.of_issuers,others_unlisted_no.of_active_instruments,others_unlisted_demat_quantity_lakh,others_unlisted_demat_value_rs_crore,others_unlisted_quantity_settled_during_the_month_lakh,others_unlisted_value_settled_during_the_month_rs_crore,total_listed_no.of_issuers_of_debt_companies_equity,total_listed_no.of_active_instruments,total_listed_demat_quantity_lakh,total_listed_demat_value_rs_crore,total_listed_quantity_settled_during_the_month_lakh,total_listed_value_settled_during_the_month_rs_crore,total_unlisted_no.of_issuers_of_debt_companies_equity,total_unlisted_no.of_active_instruments,total_unlisted_demat_quantity_lakh,total_unlisted_demat_value_rs_crore,total_unlisted_quantity_settled_during_the_month_lakh,total_unlisted_value_settled_during_the_month_rs_crore,released_on,updated_on,data_source,data_url
2015-16,2015,April,4,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,488,18297,1702,37434.88,66.43500999999998,614.692925145,194,3917,7073,10744.54,0,0,6202,8402,1161262,1264563.83,47379.683469999996,38267.30334217,1955,2361,744016,56776.1,0,0,2582,33562,55124,13276.018335996067,2498.46942909,1316.8788434241662,322,5088,118645,12037.971664003935,0,0,9272,60261,1218088,1315274.728335996,49944.58790909,40198.875110739165,2471,11366,869734,79558.61166400394,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,May,5,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,489,18509,1720,36837.16,99.22024,875.8079215729999,195,3978,7039,10745.72,0,0,6218,8425,1165008,1332508.03,42485.31749000001,33906.348882647,1978,2385,744559,56856.47,0,0,2595,34492,55749,12130.466061461693,2379.6570707399997,1328.8504152711218,327,5138,119473,12046.623938538309,0,0,9302,61426,1222477,1381475.6560614617,44964.194800740006,36111.007219491126,2500,11501,871071,79648.81393853831,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,June,6,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,494,18725,1734,37232.75,145.33892,1396.312807351,205,4030,8851,16345.45,0,0,6233,8449,1176746,1285253.43,43881.45835000001,35872.80316319699,1999,2414,747967,57418.96,0,0,2608,34920,56996,13218.334887498573,3278.6939817299995,1289.4698548402237,333,5205,119488.00000000001,12203.925112501427,0,0,9335,62094,1235476,1335704.5148874985,47305.49125173,38558.58582538822,2537,11649,876306,85968.33511250143,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,July,7,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,492,18945,1707,36814.98,239.76013000000003,683.37514233,211,4078,13747,16841.52,0,0,6250,8485,1184935,1307949.52,65402.92632000002,51458.46599349699,2013,2434,749488,57552.95,0,0,2626,35295,57688,12825.475605678295,3654.3688396400003,1479.8904710753618,340,5284,119688.99999999999,12203.014394321706,0,0,9368,62725,1244330,1357589.9756056783,3654.3688396400003,53621.73160690235,2564,11796,882924,86597.48439432171,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,August,8,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,494,19162,1698,37229.1,36.638830000000006,458.86813008600006,210,4118,14296,17056.45,0,0,6282,8530,1189219,1193960.16,70765.50575999999,50328.962365750995,2024,2455,759596,58573.19,0,0,2633,35564,58491.99999999999,13575.01861466203,3709.4014587399997,1976.5804102932848,344,5334,120028.00000000001,12460.00138533797,0,0,9409,63256,1249409,1244764.2786146621,74511.54604873998,52764.41090613027,2578,11907,893920,88089.64138533796,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,September,9,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,498,19500,1703,37530.72,34.87344,865.6786166930001,216,4172,15197,17779.12,0,0,6299,8555,1196279,1177490.51,36951.33032000001,32440.539809423,2050,2489,767369,58628.72,0,0,2636,35803,59533.00000000001,13787.952336615619,2790.3592815399998,1540.486739414148,352,5421,132605.00000000003,13950.08766338438,0,0,9433,63858,1257515,1228809.1823366156,39776.56304154,34846.70516553015,2618,12082,915171,90357.92766338438,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,October,10,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,502,19668,1745,38160.92,24.37142,464.63904900099993,220,4222,15706,18317.41,0,0,6312,8583,1212938,1226000.24,49164.62263,39954.255602779995,2060,2501,775967,59384.7,0,0,2660,36029,53373,12925.118201950383,2784.4892057399998,1405.6980637056056,356,5487,133220,14366.611798049616,0,0,9474,64280,1268056,1277086.2782019502,51973.48325573999,41824.5927154866,2636,12210,924893,92068.72179804962,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,November,11,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,499,19818,1745,37713.25,22.983349999999998,402.28513238,224,4248,15691.999999999998,18475.01,0,0,6321,8603,1220325,1230011.11,44802.38621,38718.283038181995,2079,2521,779998,59981.51,0,0,2682,36231,48748,13244.604282717753,2415.00999744,1364.8198734669559,353,5520,133382,15356.715717282248,0,0,9502,64652,1270818,1280968.9642827178,47240.37955744,40485.38804402895,2656,12289,929072,93813.23571728225,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,December,12,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,503,19977,1810.0000000000002,38376.53,23.386599999999998,588.503609384,225,4314,15943,18642.18,0,0,6331,8628,1223486,1241587.47,68988.90272000001,51317.379002559996,2098,2541,811484,63088.43,0,0,2697,36448,42051,12563.67735554556,2959.79804483,1411.3105808361463,355,5606,133372,16151.522644454439,0,0,9531,65053,1267347,1292527.6773555456,71972.08736483,53317.19319278014,2678,12461,960799,97882.13264445444,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,January,1,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,505,20126,1986,40045.6,97.83683000000002,1465.173558533,226,4354,16009,18703.22,0,0,6344,8643,1235873,1129267.71,63611.16677000001,39849.893922762014,2136,2587,831093,65036.11,0,0,2720,36670,43510,13468.31831304001,3160.8928049300002,1722.1615865068002,354,5675,127627,15654.89168695999,0,0,9569,65439,1281369,1182781.6283130401,66869.89640493003,43037.22906780182,2716,12616,974729,99394.22168696,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,February,2,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,513,20382,1992.0000000000002,40086.51,98.25412999999999,1596.844024461,233,4392,17498,19166.39,0,0,6367,8681,1232058,1042477.59,44007.065010000006,31970.828856032997,2175,2631,844673,66403.38,0,0,2762,37044,44568,13258.688983840952,5021.117133359999,1973.5513093847776,352,5743,127682,16934.55101615905,0,0,9642,66107,1278618,1095822.7889838407,49126.43627336,35541.224189878776,2760,12766,989853,102504.32101615905,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,March,3,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,523,21122,2071,45264.05,171.76781999999997,2350.7009786090002,245,4531,18787,22895.26,0,0,6416,8754,1250904,1184643.55,44975.3223,38270.25548421401,2215,2700,856485,68435.11,0,0,2763,37963,42497,14795.012063778366,5075.02742981,2069.150993154043,366,5966,130610,17958.91793622163,0,0,9702,67839,1295472,1244702.6120637786,50222.117549810006,42690.10745597705,2826,13197,1005882,109289.28793622163,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,April,4,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,520,20856,2035.0000000000002,44079.6,52.17647999999999,1024.5939125569998,242,4484,18375,23824.15,0,0,6402,8732,1241302,1180578.23,40288.506519999995,35640.209718852006,2204,2681,841440,66970.66,0,0,2762,37742,41139.00000000001,14128.757338721141,3314.53906933,1620.2382217276488,359,5903,130384.99999999999,18033.842661278853,0,0,9684,67330,1284476,1238786.5873387211,43655.22206933,38285.04185313665,2805,13068,990200,108828.65266127884,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,May,5,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,523,21122,2071,45264.05,27.38618,937.5051383059999,245,4531,18787,22895.26,0,0,6416,8754,1250904,1184643.55,44776.34238,41418.427020068004,2215,2700,856485,68435.11,0,0,2763,37963,42497,14795.012063778366,3784.9563761400004,1804.6925852081795,366,5966,130609.99999999999,17958.91793622163,0,0,9702,67839,1295472,1244702.6120637786,48588.68493614,44160.62474358218,2826,13197,1005882,109289.28793622163,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,June,6,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,528,21422,2086,44601,194.19796,2648.120000059,252,4594,19265,21068.47,0,0,6428,8769,1261731,1241751.66,53836.15739999999,47381.12313515799,2233,2720,858331,68261.48,0,0,2774,38171,44580,16221.506820543354,3706.1983835600004,2006.3393378236792,363,6049,130831,20609.663179456646,0,0,9730,68362,1308397,1302574.1668205434,57736.55374355999,52035.582473040675,2848,13363,1008427,109939.61317945665,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,July,7,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,533,21671,2070,45277.17,28.580720000000003,792.446826645,257,4641,19764,21036.09,0,0,6428,8786,1267047,1300448.78,65103.85001999999,56524.983444057,2255,2748,859034,68529.45,0,0,2791,38438,46647,17701.297210486147,4111.60191068,2258.452688221878,364,6080,130939.99999999999,20753.682789513856,0,0,9752,68895,1315764,1363427.247210486,69244.03265067999,59575.882958923874,2876,13469,1009738,110319.22278951385,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,August,8,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,537,21942,2075,45935.03,142.51399000000004,2273.447718122,258,4701,21801,24667.12,0,0,6434,8798,1273541,1346607.18,59936.50857,58731.122062815,2299,2795,876256,70325.27,0,0,2777,38795,48780,18444.27366044533,4136.712476849999,2264.643655204726,364,6126,130872,20846.376339554667,0,0,9748,69535,1324396,1410986.4836604453,64215.73503684999,63269.21343614172,2921,13622,1028929,115838.76633955467,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,September,9,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,540,22219,2274,48337.64,169.38723000000002,2466.1138292759997,266,4739,20642,24340.1,0,0,6450,8823,1284406,1354896.94,60900.53571,56832.55089796801,2322,2828,943686,77139.57,0,0,2715,39056,50923,18402.32023248848,6526.989861380001,2902.1388907176843,364,6187,130756,20247.139767511522,0,0,9705,70098,1337603,1421636.9002324883,67596.91280138,62200.80361796169,2952,13754,1095084,121726.80976751153,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,October,10,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,545,22404,2098,47228.57,144.08900000000003,1942.4255742520002,275,4782,20717,24680.49,0,0,6476,8869,1309044,1424598.65,62248.682369999995,58253.59340764699,2331,2841,971911,79863.07,0,0,2682,39233,52565,19067.25908908225,5462.004743,3170.3180318316868,369,6237,130858,20646.21091091775,0,0,9703,70506,1363707,1490894.4790890822,67854.77611299999,63366.337013730685,2975,13860,1123486,125189.77091091777,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,November,11,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,550,22596,2903,48157.96,27.781049999999997,1024.199722501,277,4817,22020,32649.49,0,0,6479,8888,1315222,1383238.75,43948.534850000004,38860.058039986,2350,2867,977483,80974.61,0,0,2656,39433,55098,19385.278799381358,5762.90155342,2787.8147024933005,374,6321,130845,20692.901200618642,0,0,9685,70917,1373223,1450781.9887993813,49739.21745342,42672.072464980294,3001,14005,1130348,134317.00120061866,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,December,12,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,547,22812,2964,50668.3,177.46366,1035.757362824,287,4871,22039,18438.39,0,0,6489,8907,1358014,1336388.04,44466.77687000001,37719.118299182,2368,2895,981356,81572.6,0,0,2632,39628,57297,19520.080452603193,5161.84807752,2966.23983256124,377,6385,131098.99999999997,21789.46954739681,0,0,9668,71347,1418275,1406576.4204526034,49806.08860752001,41721.11549456724,3032,14151,1134494,121800.45954739681,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,January,1,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,555,23006,3011,50833.59,48.25683999999999,1699.0256939,291,4926,22070,18528.8,0,0,6505,8926,1356527,1435805.42,60358.98228999999,50178.05476,2390,2920,982951,81572.08,0,0,2625,39796,64472.99999999999,22455.453540801675,5248.69592,3083.0400546399997,377,6445,130680,21406.08645919833,0,0,9685,71728,1424011,1509094.4635408018,65655.93505,54960.12050854,3058,14291,1135701,121506.96645919833,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,February,2,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,558,23214,2923,50794.32,28.820189999999997,1349.2614476,298,4969,21670,18879.24,0,0,6517,8946,1348326,1483566.39,67235.60304,58338.62836250001,2427,2967,983792,81906.73,0,0,2630,40202,63734,23566.54448638057,8210.04691,4065.5149734999995,374,6517,130071,21483.325513619428,0,0,9705,72362,1414983,1557927.2544863806,75474.47013999999,63753.40478360001,3099,14453,1135533,122269.29551361944,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,March,3,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,570,23522,2992,52956.07,52.50276,1389.4758567,305,5013,25150,21548.11,0,0,6540,8973,1345675,1540851.3,91465.53354000002,88835.49677799999,2447,3010,980464,105100.12,0,0,2651,40951,67918,26578.010778997424,10831.7878387,5496.900052200001,377,6634,130075,26551.729221002584,0,0,9761,73446,1416585,1620385.3807789974,102349.82413870002,95721.87268689998,3129,14657,1135689,153199.9592210026,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,April,4,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,564,9523,2990.87,54357.4466,27.61589,833.5715385999999,306,1418,24900.460000000003,23569.4355,0,0,6556,6663,1335595.4100000001,1603340.637,73677.12323000001,74050.64395,2472,2621,972161.47,104257.2856,0,0,2546,19214,69528.48,24779.4776,6423.0852721,3745.5512926,382,1457,130032.42,20390.8073,0,0,9666,35400,1408114.7600000002,1682477.5612,80127.82439210001,78629.76678119999,3160,5496,1127094.3499999999,148217.5284,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,May,5,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,567,9759,2999.68965,55206.0284,27.864869999999996,741.209866,306,1440,26374.08734,24742.1044,0,0,6574,6673,1339294.66744,1571027.439,72160.58563999999,72311.44957999999,2486,2637,975083.64573,104522.6052,0,0,2531,19107,73456.78870221,26164.874300000003,7684.6525419,4500.972587900001,384,1460,130091.55628854,17386.6792,0,0,9672,35539,1415751.14579221,1652398.3417,79873.10305189999,77553.6320339,3176,5537,1131549.28935854,146651.38880000002,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,June,6,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,569,9818,3090.91113,53443.7011,39.849689999999995,883.5241047,310,1446,26837.24408,25511.9706,0,0,6562,6671,1344591.6595299998,1536000.9569,55896.703839999995,60536.838670000005,2529,2682,980137.5040000001,104930.0346,0,0,2497,18711,75856.39279207999,27252.9442,7696.24455,4678.9440494,384,1446,130430.20790987,19221.955700000002,0,0,9628,35200,1423538.9634520798,1616697.6022,63632.79808,66099.3068241,3223,5574,1137404.95598987,149663.9609,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,July,7,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,571,9785,2994.6080699999998,51622.7879,56.122969999999995,1266.8869264,316,1491,29991.80464,25963.0062,0,0,6569,6685,1356896.37166,1645673.28,78888.64443999999,73328.33671,2572,2726,971130.86807,103788.1999,0,0,2464,18594,78165.59181029,29360.892000000003,7732.428620000001,4549.041097000001,388,1450,130510.56188709,18265.2627,0,0,9604,35064,1438056.57154029,1726656.9599000001,86677.19602999998,79144.26473339999,3276,5667,1131633.23459709,148016.4688,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,August,8,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,567,9733,3013.96558,52516.4663,26.22668,708.7664152,317,1498,30632.238849999998,23968.3041,0,0,6584,6702,1375357.27529,1622695.0931,60168.286,66369.8296182,2600,2756,975759.27789,104208.8258,0,0,2428,18361,81639.70439461998,30142.7937,9783.16157,5280.742001299998,385,1444,130909.69603812,17875.591,0,0,9579,34796,1460010.94526462,1705354.3531,69977.67425000001,72359.3380347,3302,5698,1137301.21277812,146052.72090000001,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,September,9,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,566,9643,3018.61056,52089.0766,27.067570000000007,493.41917520000004,315,1522,30632.20733,24081.3883,0,0,6605,6726,1401714.54175,1615622.7742,68914.25708000001,77188.11227620002,2626,2783,985311.10237,105162.2294,0,0,2409,18241,85739.36592565,30893.7598,12234.67095,5588.973843200001,393,1449,130921.77530135999,18845.3944,0,0,9580,34610,1490472.51823565,1698605.6106000002,81175.99560000001,83270.50529460002,3334,5754,1146865.08500136,148089.0121,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,October,10,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,572,9570,3048.36614,51958.8884,56.92325,315.5175915,310,1529,30632.457799999996,24078.597,0,0,6639,6757,1404512.27884,1846745.7773,63522.33832999999,80566.6409133,2618,2774,991158.12761,105435.8483,0,0,2365,18016,89805.90069291998,33180.9914,8981.19804,5517.3216551,394,1448,131495.47630838,18307.3803,0,0,9576,34343,1497366.54567292,1931885.6571,72560.45962,86399.48015989999,3322,5751,1153286.0617183798,147821.82559999998,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,November,11,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,570,9491,3038.88534,52643.0705,33.85602,617.905072,313,1550,30649.18572,25212.7614,0,0,6652,6768,1416077.05665,1842777.6567,88832.48330999998,100368.88234502001,2657,2815,993270.52819,105547.7229,0,0,2351,17905,94203.47390386,35390.4112,11694.347950000001,6574.818232500001,394,1433,131429.8605156,17820.416,0,0,9573,34164,1513319.41589386,1930811.1383999998,100560.68727999998,107561.60564952,3364,5798,1155349.5744256,148580.9003,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2017,December,12,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,567,9439,3006.08412,52892.4803,27.09446000000001,951.4660119,310,1570,40791.84704,25079.4305,0,0,6671,6783,1423346.3544,1912134.007,81807.74732,90017.81162150002,2708,2868,996185.04221,105735.7074,0,0,2356,17880,98971.99289476,37062.1002,11847.768660000002,6014.359225300001,398,1460,131678.77647312,21771.927,0,0,9594,34102,1525324.4314147602,2002088.5875,93682.61043999999,96983.63685870002,3416,5898,1168655.66572312,152587.0649,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,January,1,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,565,9338,3026.76744,53155.2512,46.88451,1235.7143703,314,1561,40944.394,25545.7286,0,0,6682,6794,1438871.18679,1922156.2774,139748.96401999998,108181.76646962998,2773,2932,1000289.01127,106256.3977,0,0,2360,17996,103458.56493371,39119.89,13575.848205,7703.8789159,409,1487,134450.03734743,20246.9566,0,0,9607,34128,1545356.51916371,2014431.4186,153371.69673499998,117121.35975582998,3496,5980,1175683.44261743,152049.0829,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,February,2,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,569,9273,3022.78727,53270.0096,27.608289999999997,983.2392565,320,1610,40953.27013,26027.6531,0,0,6712,6826,1458598.83337,1833569.0632,81013.6319,73070.81652835,2840,3008,1000703.90422,106180.4009,0,0,2400,18170,106870.14643574,39705.7395,10011.628390000002,6651.228036,421,1496,135119.84351449,20481.6923,0,0,9681,34269,1568491.7670757398,1926544.8122999999,91052.86858,80705.28382085,3581,6114,1176777.01786449,152689.7463,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,March,3,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,568,9196,3035.4,53307.46,25.884770000000003,996.0282845,323,1590,42812.11,26320.7,0,0,6748,6863,1477471.74,1730199.53,73338.42833999998,63122.03875500001,2905,3075,1067062.84,112812.61,0,0,2440,18502,112277.76,40850.81,30590.618089999996,9555.4938268,428,1472,135391.34,20489.93,0,0,9756,34561,1592784.9,1824357.8,103954.93119999999,73673.5608663,3656,6137,1245266.28,159623.23,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2018,April,4,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,563,8992,3090.63914,54252.0074,35.41109,740.165765,329,1608,80493.63256,26944.7515,0,0,6766,6884,1577809.92862,1863506.3613,65443.199440000004,69658.44952000001,3004,3175,1072432.75567,113320.6052,0,0,2328,17945,114968.78234627,43211.927,10141.063059999999,7059.457022850001,435,1508,137908.88675337,20546.5895,0,0,9657,34561,1695869.35010627,1960970.2957,75619.67359,77458.07230785,3768,6137,1290835.2749833702,160811.9462,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2018,May,5,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,559,8892,3103.97159,54732.0243,35.868069999999996,1011.5986404,329,1660,86468.6842,28545.9689,0,0,6784,6904,1587817.93051,1807245.5386,69818.15468999998,67581.77314,3101,3274,1071590.07529,113513.4491,0,0,2323,17913,118531.1836276,44198.2325,10248.11057,7056.319454800001,437,6904,138710.45700677,20803.0619,0,0,9666,33709,1709453.0857276001,1906175.7954,80102.13333,75649.6912352,3867,11838,1296769.21649677,162862.4799,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2018,June,6,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,562,8753,3139.73478,55568.2031,36.49478,975.7964539000001,332,1675,86986.27976,28835.5493,0,0,6799,6921,1624608.50206,1730953.4941,50366.64241,53780.68101,3186,3362,1081269.93322,113083.4581,0,0,2321,17836,126701.07526855,46506.4149,8399.306040000001,6990.711649900001,438,1501,133681.09336877,20180.7782,0,0,9682,33510,1754449.3121085502,1833028.1121,58802.443230000004,61747.18911380001,3956,6538,1301937.3063487702,162099.7856,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
