fiscal_year,year,month,month_numeric,data_from_table,nsdl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,nsdl_number_of_depository_participants_registered,nsdl_number_of_clearing_corporations_connected,nsdl_number_of_investors_accounts_lakh,nsdl_quantity_of_shares_dematerialized_crore,nsdl_value_of_shares_dematerialized_rs_crore,nsdl_quantity_of_securities_dematerialized_crore,nsdl_value_of_securities_dematerialized_rs_crore,nsdl_quantity_of_shares_settled_during_the_month_crore,nsdl_value_of_shares_settled_during_the_month_in_dematerialized_form_rs_crore,nsdl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,cdsl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,cdsl_number_of_depository_participants_registered,cdsl_number_of_clearing_corporations_connected,cdsl_number_of_investors_accounts_lakh,cdsl_quantity_of_shares_dematerialized_crore,cdsl_value_of_shares_dematerialized_rs_crore,cdsl_quantity_of_securities_dematerialized_crore,cdsl_value_of_securities_dematerialized_rs_crore,cdsl_quantity_of_shares_settled_during_the_month_crore,cdsl_value_of_shares_settled_during_the_month_in_dematerialized_form_rs_crore,cdsl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,released_on,updated_on,data_source,data_url
2021-22,2021,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5697,277,4,221.56294,57600.5453645,19464572.6904151,62079.942333966,23243514.0462761,1861.0701961,446193.186744928,85.7616,5771,592,3,374.66992,24488.3680844,2619044.4255,27353.28,2838659.98,2581.3489994000006,267747.43441140006,11.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,June,6,Table 49: Dematerialisation Statistics of Listed Companies,5711,278,4,225.09779,57614.5926862,20046308.631381,62042.395835111,23846740.592602,2265.9053992,452346.021511933,86.9442,5783,588,3,396.51,25526.92,2744053.98,28411.4,2968509.17,4043.85,328717.6,12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,July,7,Table 49: Dematerialisation Statistics of Listed Companies,5725,278,4,228.82247,58179.6809157,20439534.6344061,62560.254645024,24199775.464494,1825.0974203,397395.79795753,86.4074,5791,588,3,419.89,25829.61,2850587.57,28825.98,3082555.17,3261.62,297666.79,12.18,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,August,8,Table 49: Dematerialisation Statistics of Listed Companies,5742,276,4,232.92945,58631.3102112,21868394.61195666,63205.11895178299,25568928.030045804,1612.3660072,440031.4692876334,86.8927,5806,586,3,441.01,26148.05,2921224.73,29206.26,3145321.94,2633.67,264170.14,11.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,September,9,Table 49: Dematerialisation Statistics of Listed Companies,5755,276,4,237.55327,58776.7870002,22683347.1148712,63378.213965896,26360855.8608882,1635.5989126,493124.363759275,86.7115,5820,591,3,464.66,26115.67,3075605.95,29326.28,3311051.35,2694.52,297434.03,11.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,October,10,Table 49: Dematerialisation Statistics of Listed Companies,5771,277,4,242.04487,58942.9796228,22537206.4572876,63554.390414409,26217500.813946,1800.0645739,530043.812347366,86.3349,5833,591,3,496.03,26332.4,3176447.99,29987.73,3419653.18,2985.12,322845.69,12.28,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,November,11,Table 49: Dematerialisation Statistics of Listed Companies,5787,277,4,245.96176,58983.9862852,22395688.25014169,63661.717151267396,26373654.89515931,1371.7781988,452252.7551767235,86.2924,5844,592,3,526.37,26439.39,3136446.52,30181.73,3380407.68,1862.89,212534.41,12.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2021,December,12,Table 49: Dematerialisation Statistics of Listed Companies,5809,277,4,250.25252,59216.337444000004,23105868.72153435,63898.0291348535,27043639.882807698,1887.8764594,457021.3647613831,87.5068,5864,592,3,555.66997,26668.9299373,3233472.5747,30457.960666951698,3481400.3444000008,3279.5713960000003,222634.283688915,12.15,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,January,1,Table 49: Dematerialisation Statistics of Listed Companies,5816,278,4,254.83687,59251.120659,22900970.595516942,63947.1321452926,26864695.1278722,2279.1691367,429471.4836492886,87.2431,5871,593,3,584.97541,27133.3658527,3328864.5629,30974.466351557203,3577523.4466,4352.7786036,252904.52648482498,12.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,February,2,Table 49: Dematerialisation Statistics of Listed Companies,5826,276,4,260.69206,59659.8271083,21937725.392204687,64387.9487544103,25873215.872640915,1475.906322,403508.97166892374,87.528,5877,584,3,607.62732,27253.7922596,3105520.9309,31153.064869428996,3353521.3812,2645.9868202999996,191321.24357673997,12.89,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,March,3,Table 49: Dematerialisation Statistics of Listed Companies,5846,277,4,266.83925,60191.1782397,22938891.6228097,64752.755568141,26849274.7415569,1689.2881742,606077.424975346,85.9959,5886,584,3,629.97,27625.04,3228356.02,31531.23,3482602.38,2346.24,231398.38,12.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5858,276,4,270.78156,60498.2696959,23247807.0726289,64964.460999275,27123376.543669,1486.9359567,443903.42471289,86.0704,5892,588,3,650.36,28216.62,3233896.84,32155.13,3490201.18,2534.78,244995.91,12.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5879,277,4,276.10017,61308.625244300005,22469558.552364595,65723.6751124183,26327243.948803578,1297.1203666,414333.7448962192,86.1264,5900,583,3,671.55919,28473.2047211,3084309.4935,32521.786620756302,3340467.9565,1712.5973575999997,177457.16277571997,11.982494201584,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,June,6,Table 49: Dematerialisation Statistics of Listed Companies,5888,277,4,280.02108,61642.4813621,21246465.8771135,66028.377372065,25073332.0774705,1221.5858398,384944.579700495,86.2114,5907,585,3,685.32,28683.31,2887088.94,32743.75,3143190.93,1475.58,130696.1,11.88,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,July,7,Table 49: Dematerialisation Statistics of Listed Companies,5874,278,4,284.31848,63137.6365081,23271463.5496132,67544.768881782,27164363.9022635,1024.6177021,352427.776697874,86.1754,5920,583,3,699.03,29050.38,3175051.37,33186.89,3444422.68,1409.99,153470.69,11.93,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,August,8,Table 49: Dematerialisation Statistics of Listed Companies,5781,278,4,288.59976,63046.6329024,24479924.4738706,67472.385056958,28434691.4815534,1576.623247,430762.566576974,86.3125,5921,583,3,717,29133,3324426,33361,3600346,2268,228653,12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,September,9,Table 49: Dematerialisation Statistics of Listed Companies,5808,278,4,292.55378,63983.0383486,23698872.4757226,68479.730861317,27662790.3857731,1767.7632272,500626.682286925,85.9037,5946,586,3,733.54,29596.05,3271554.06,33774.39,3549625.102,2642.12,239573.6,12.04,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,October,10,Table 49: Dematerialisation Statistics of Listed Companies,5827,279,4,295.58112,64396.5567265,24375514.32496,68919.860901622,28376972.2462608,1292.045585,388038.322520256,85.9153,5967,581,3,748.1085,29754.81141,3418163.506,34011.76685,3704210.541,1637.772027,158214.0321,12.22751479,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,November,11,Table 49: Dematerialisation Statistics of Listed Companies,5843,282,4,299.28371,65147.78383,25184599.8444066,69714.099943817,29181153.8670154,1515.5332181,438394.909369849,86.2073,5989,584,3,761.94036,29992.0277106,3554633.2995,34191.301383154,3847958.7457000003,2445.81,230570.06586639996,12.335583178161,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2022,December,12,Table 49: Dematerialisation Statistics of Listed Companies,5862,282,4,303.7513,65711.1780282,24477444.2571918,70334.403934064,28506988.7148,1744.1313617,422959.158103398,86.117,6006,585,3,778.94769,30304.5925119,3581449.8061,34592.42726862299,3876859.5096,3275.06553,236768.284791,12.6872966175598,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,January,1,Table 49: Dematerialisation Statistics of Listed Companies,5878,284,4,307.83423,65735.8660426,23398329.695225723,70308.5990342633,27442843.113298457,1328.7020527,403285.37772037,85.8239,6017,585,3,796.78589,30509.0888141,3451670.7325,34858.4751269681,3748964.0927,1953.499,168876.638,12.7745734343323,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,February,2,Table 49: Dematerialisation Statistics of Listed Companies,5885,284,4,311.68147,68207.0974042,22284664.9708485,72799.24956571209,26326527.742426485,1190.0509356,374029.707029366,85.5153,6023,587,3,813.73441,30689.7328317,3320924.064,35042.1207,3620507.667,1616.7304275,154690.568785,12.8896172996975,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,March,3,Table 49: Dematerialisation Statistics of Listed Companies,5843,283,4,314.63051,68058.8003835,22261190.595970742,72621.33460843848,26308596.322236788,1446.745208,406585.958328243,85.0381,6043,588,3,830.01541,30945.0075989,3405158.1594,35421.42161,3708994.529,1749.500234,163544.580469,13.1881964467305,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5856,283,4,316.85641,68146.6847072,23358922.448936757,72704.94139447839,27429015.60054657,958.726425,315217.04681383196,84.7049,6054,588,3,843.65181,31244.6117347,3660509.6857,35777.76545,3974813.936,1313.916681,126058.517324,13.46695682,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5865,283,4,319.90871,68313.8475273,24400481.604586426,72857.37926825699,28490417.58639032,1356.5243556,421550.494243505,84.9618,6066,586,3,862.2513,31356.7436041,3761792.0075,35804.657711298,4078418.2158999997,1985.893132,214435.018005,13.2747634216224,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,June,6,Table 49: Dematerialisation Statistics of Listed Companies,5838,284,4,323.42935,68549.8973025,25532405.243459947,73366.7443485402,29664243.138973035,1684.3889178000002,568170.907918404,85.1644,6083,588,3,881.71228,31488.7344919,3937662.8868,36008.90016,4263678.701,2755.968197,276145.056844,13.2912464759596,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,July,7,Table 49: Dematerialisation Statistics of Listed Companies,5861,284,4,327.63591,68795.5148181,26306307.638717733,76150.55450653419,30314767.381859425,2142.720252,703813.8262154979,85.0517,6102,588,3,907.31547,31642.7292365,4152401.4169,36215.51567,4478940.522,2613.158818,294708.195174,13.5517968331843,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,August,8,Table 49: Dematerialisation Statistics of Listed Companies,5851,282,4,331.20785,69849.6194706,26552533.511523057,77097.34191600209,30577995.963843927,2197.5408586,593118.3471092581,84.898,6124,587,3,935.73724,31905.2546804,4213690.925,36497.12078,4547782.625,3407.110973,317584.291963,13.6259959299037,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,September,9,Table 49: Dematerialisation Statistics of Listed Companies,5887,284,4,334.72533,70438.1914512,27216783.781424906,77864.43792003469,31226236.07897652,2488.0257928,687834.653888742,84.6781,6166,585,3,962.00036,32211.8912807,4472670.0887,36873.77969,4814738.444,3812.854872,325658.920554,14.0515361771474,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,October,10,Table 49: Dematerialisation Statistics of Listed Companies,5904,283,4,338.04521,70698.6052128,26594186.47807736,78155.4161554253,30597878.57418045,1936.7424761,526104.8544738509,84.7421,6192,585,3,985.41568,32470.5341559,4380139.6363,37203.68732,4722560.529,2932.033602,263078.118781,14.0921536833306,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,November,11,Table 49: Dematerialisation Statistics of Listed Companies,5930,284,4,341.53959,71246.10860159999,28660454.256310593,78971.66349419249,32724331.772355612,1946.3559128,477501.669394426,84.8351,6219,585,3,1009.7287,32761.5780428,4731350.4661,37565.87043,5089169.635,3390.978031,298631.955014,13.898792055228,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2023,December,12,Table 49: Dematerialisation Statistics of Listed Companies,5888,284,4,345.83606,71373.0135539,31105672.89776071,80275.69528529019,35236036.97373385,2820.3706225,900576.6140753509,84.9097,6245,583,3,1047.21142,32933.5289601,5121423.6572,37880.82479,5498205.102,4606.03859,487110.458886,13.8712283302199,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,January,1,Table 49: Dematerialisation Statistics of Listed Companies,5910,283,5,350.60904,71531.80284029999,32290868.698415294,80623.60683537099,36478830.54533983,3034.605546,832622.3416647845,84.5712,6023,587,3,813.73441,30689.7328317,3320924.064,35042.1207,3620507.667,1616.7304275,154690.568785,12.8896172996975,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,February,2,Table 49: Dematerialisation Statistics of Listed Companies,5926,281,5,354.68889,71573.1347076,32880559.63407258,80954.7478987532,37126108.144685574,2831.0560581,800834.3634796096,83.9687,6296,582,3,1127.82754,33702.002428,5752680.2642,38968.03144,6156277.082,5224.376549,508775.642088,14.8666849792722,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,March,3,Table 49: Dematerialisation Statistics of Listed Companies,5945,281,5,357.70759,71917.0433763,32831975.857470494,81777.73408023649,37121680.02172296,2252.5348286,831663.2666361926,84.2603,6322,580,3,1156.05419,34043.8016487,5711832.1573,39418.82395,6119551.051,2855.591973,331767.805111,14.7994275086653,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5962,282,5,360.57704,73563.8293291,34331337.51021094,83606.28911549239,38632742.13233008,2712.3331675,763380.1664605046,83.9978,6348,578,3,1183.91409,34655.012055,6188532.2144,40214.11825,6119551.051,3819.46771,425703.776055,15.2696966036685,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5994,282,5,364.21902,74006.96043050001,34805571.79825065,83660.7680311723,39126940.694159634,2566.0177287,826415.0641018592,84.5229,6380,577,3,1216.28451,35365.690709,6218814.9375,41084.9657,6657817.605,3560.352578,449616.448041,15.1486288739754,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,June,6,Table 49: Dematerialisation Statistics of Listed Companies,6017,285,5,367.93916,74579.7777178,37088785.72440332,84892.5605188924,41483096.402148195,3121.7198616,1135608.03345671,85.0143,6409,573,3,1254.94403,35662.5279571,6564625.6865,41552.13734,7029966.89,4594.10109,588764.283536,15.0210687256413,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,July,7,Table 49: Dematerialisation Statistics of Listed Companies,6059,285,5,372.03971,75406.8449349,39144211.45721949,87328.49274984229,43660439.49772501,2922.4367756,1002766.1049676514,85.3329,6443,572,3,1296.33061,36120.6613929,6920262.6282,42288.91581,7407875.632,5439.624193,683889.961009,15.0143961632447,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,August,8,Table 49: Dematerialisation Statistics of Listed Companies,6095,285,5,376.29366,76650.4068129,39421322.42020869,88844.78093163029,44012310.497654535,2481.787483,924790.3002768111,85.869,6471,569,3,1334.35655,36989.2270781,6944364.9193,43444.95901,7450193.168,4324.155444,542252.197941,14.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,September,9,Table 49: Dematerialisation Statistics of Listed Companies,6128,289,5,380.89585,78379.2664865,40369287.72730551,90624.5126224552,45056923.07696385,2956.0676216,1078986.90637145,86.5617,6471,569,3,1373.37476,37736.3611315,6958008.4835,44358.22705,7481793.93,4068.100611,524448.531707,14.6824926624175,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,October,10,Table 49: Dematerialisation Statistics of Listed Companies,6140,289,5,384.47,78734.5057587,36917910.79115939,92437.56027299051,41641963.463614464,2136.224401,852349.6558686757,88.4835,6546,569,3,1404.31102,38358.0382982,6565004.1562,45259.36061,7084738.177,3400.50605,393956.367109,14.6824926624175,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,November,11,Table 49: Dematerialisation Statistics of Listed Companies,6156,289,5,387.93,80187.9476059,37925444.634344965,93949.8230298252,42680138.55714555,1741.0728312,747214.696201465,89.19,6559,574,3,1432.52892,39002.3609452,6570238.7951,46076.30783,7099606.473,2396.801815,302791.491203,14.6824926624175,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2024,December,12,Table 49: Dematerialisation Statistics of Listed Companies,6161,289,5,387.68,81861.66656510001,37463246.42825607,95642.94779881398,42239518.94364196,1873.7263624,775354.818252281,89.94,6591,576,3,1465.35315,40387.4068105,6564340.6969,47586.5757,7096387.916,3547.409766,444851.69721440005,14.81,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,January,1,Table 49: Dematerialisation Statistics of Listed Companies,6223,290,5,388.17,82992,35965440,96851,40812084,1958.2064894,778753.344958847,90.04,6623,575,3,1493.19127,40888.2688474,6313597.7907,48289.38858,6839742.66,3124.044628,364276.291497,14.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,February,2,Table 49: Dematerialisation Statistics of Listed Companies,6276,291,5,391.61,84564,32763162.859392487,98676.21250239309,37623332.52049925,1577.0070273,659997.852113758,90.4958,6646,577,3,1512.36779,41259.5351045,5638369.8896,48803.14683,6157986.822,2243.895374,253427.126357,14.6671883272489,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,March,3,Table 49: Dematerialisation Statistics of Listed Companies,6290,294,5,395,85229.91240189999,35207810.71711448,99971.53480893979,40160229.13084929,2234.1418745,776640.6561695659,91,6657,574,3,1529.84202,41628.4606953,6113470.5903,49319.48928,6657551.868,2992.851791,337285.794005,14.7796056547603,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
