fiscal_year,month,month_numeric,data_from_table,equity_public_issues_no_of_issues,equity_public_issues_amount_cr,equity_qip_preferential_no_of_issues,equity_qip_preferential_amount_cr,debt_public_issues_no_of_issues,debt_public_issues_amount_cr,debt_private_placement_no_of_issues,debt_private_placement_amount_cr,reits_invits_no_of_issues,reits_invits_amount_cr,total_funds_mobilized_no_of_issues,total_funds_mobilized_amount_cr,released_on,updated_on,data_source,data_url
2013-14,March,3,Table 12: Funds Mobilised by all Instruments,7,176.6576372,34,2401.289788053,11,8622.720000000001,244,33263.4,,,296,44464.067425253,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,April,4,Table 12: Funds Mobilised by all Instruments,4,2001.627364,28,3160.0002635829997,1,200,300,23574.55,,,333,28936.177627582998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,May,5,Table 12: Funds Mobilised by all Instruments,6,912.5290654,47,1982.7491032369999,2,250,83,9069.85,,,138,12215.128168637,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,June,6,Table 12: Funds Mobilised by all Instruments,5,177.0097647,47,9613.269176954,3,891.19,159,18326.14,,,214,29007.608941653998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,July,7,Table 12: Funds Mobilised by all Instruments,2,8.05,37,11848.816012253,3,2418.4700000000003,28,2866.19,,,70,17141.526012252998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,August,8,Table 12: Funds Mobilised by all Instruments,3,27.18,27,3591.24996096,2,260.93,174,32875.53,,,206,36754.88996096,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,September,9,Table 12: Funds Mobilised by all Instruments,7,2964.8680373999996,30,2821.3394729479996,1,397.78,312,58578.53,,,350,64762.517510348,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,October,10,Table 12: Funds Mobilised by all Instruments,11,233.2095411,46,3677.4626387069993,5,1284.43,279,38399.36,,,341,43594.462179807,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,November,11,Table 12: Funds Mobilised by all Instruments,4,630.1339848,35,1602.914491403,1,1209.19,298,37657.4,,,338,41099.638476203,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,December,12,Table 12: Funds Mobilised by all Instruments,5,389.775333,31,3168.719051849,1,400,296,47897.68,,,333,51856.174384849,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,January,1,Table 12: Funds Mobilised by all Instruments,3,14.9732,34,2784.2665921469998,0,0,188,46187.2,,,225,48986.43979214699,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,February,2,Table 12: Funds Mobilised by all Instruments,4,1590.840241375,47,3590.593808155,1,763.07,216,41847.5,,,268,47792.00404953,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,March,3,Table 12: Funds Mobilised by all Instruments,7,483.84464,33,3422.9274127969998,5,1638.37,278,46856.57,,,323,52401.712052797,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 12: Funds Mobilised by all Instruments,10,3943.0343190999993,42,11518.614493859,1,409.7,378,84806.74,,,431,100678.088812959,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 12: Funds Mobilised by all Instruments,5,8902.9260689,35,6133.663075938999,0,0,251,20691.95,,,291,35728.539144839,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 12: Funds Mobilised by all Instruments,1,4.63,43,3016.7419621930003,0,0,283,36125.09,,,327,39146.461962192996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 12: Funds Mobilised by all Instruments,11,442.5180000000001,38,5484.3896357349995,1,163.54,325,27920.35,,,375,34010.797635735,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 12: Funds Mobilised by all Instruments,7,989.235999,20,2018.69015686,1,228.27,272,46564.45,,,300,49800.64615586,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 12: Funds Mobilised by all Instruments,9,1700.277,36,5369.461824346,1,700,199,26611.51,,,245,34381.248824345996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 12: Funds Mobilised by all Instruments,9,42.615,23,16382.483333075,4,2200,214,43930.85,,,250,62555.948333075,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 12: Funds Mobilised by all Instruments,8,5574.8981475,30,5312.707502586999,1,230,133,24617.97,,,172,35735.575650087005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 12: Funds Mobilised by all Instruments,5,2049.1238273999998,28,1866.3881305959999,2,14532,216,30151.64,,,251,48599.151957996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 12: Funds Mobilised by all Instruments,3,626.0160000000001,31,4029.268046744,3,2398.5299999999997,179,39392.82,,,216,46446.634046744,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
