fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_crore,debt_crore,debt_vrr_crore,debt_far,mf_aifs,hybrid_crore,total_crore
2021-22,2021,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-06-01,17215.01,-4828.54,882.98,,,-295.48,12973.97
2021-22,2021,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-07-01,-11308.36,-781.55,4817.5,,,-137.58,-7409.99
2021-22,2021,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-08-01,2083,12144,2232,,,97,16556
2021-22,2021,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-09-01,13154,12804,559,,,1239,27756
2021-22,2021,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-10-01,-13550,-1558,2830,,,-159,-12437
2021-22,2021,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-11-01,-5945.1,982.57,2465.92,,,-24.15,-2520.7600000000007
2021-22,2021,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-12-01,-19026,-11799,1391,,,-269,-29702
2021-22,2022,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-01-01,-33303,5194,-2114,,,1697,-28526
2021-22,2022,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-02-01,-35592,-3073,487,,,110,-38068
2021-22,2022,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-03-01,-41123,-5632,-3244,,,-68,-50067
2022-23,2022,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-04-01,-17144,-4439,-1175,,,69,-22689
2022-23,2022,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-05-01,-39993,-5506,9043,,,-62,-36518
2022-23,2022,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-06-01,-50202.81,-1413.88,86.54,,,108.12,-51422.02999999999
2022-23,2022,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-07-01,4988.79,-2056.33,-784.64,,,-176.49,1971.33
2022-23,2022,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-08-01,51204.42,3844.53,2997.18,,,-1525.03,56521.1
2022-23,2022,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-09-01,-7623.66,4012.13,-1455.46,,,1111.68,-3955.3099999999995
2022-23,2022,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-10-01,-8.29,-3532.16,761.5,,,-301.17,-3080.12
2022-23,2022,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-11-01,36238.66,-1637.07,-539.92,,,-214.41,33847.26
2022-23,2022,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-12-01,11118.99,-1673.09,-271.71,,,-3.51,9170.68
2022-23,2023,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-01-01,-28852,3531,-1076,,,-146,-26544
2022-23,2023,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-02-01,-5294,2436,-1044,,,-237,-4139
2022-23,2023,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-03-01,7936,-2505,-727,,,1195,5899
2023-24,2023,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-04-01,11631,806,1235,,,-126,13545
2023-24,2023,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-05-01,43838,3276,1514,,,-298,48330
2023-24,2023,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-06-01,47148,9178,-242,,,173,56258
2023-24,2023,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-07-01,46618,3726,-2227,,,-140,47977
2023-24,2023,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-08-01,12262,7733,-2933,,,1276,18338
2023-24,2023,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-09-01,-14768,938,54,,,-36,-13810
2023-24,2023,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-10-01,-24548,6382,406,,,-115,-17875
2023-24,2023,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-11-01,9001,14860,737,,,-52,24546
2023-24,2023,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-12-01,66135,18302,-4146,,,4247,84537
2023-24,2024,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-01-01,-25744,19837,-710,,,24,-6593
2023-24,2024,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-02-01,1539,22419,862,,,6997,31817
2023-24,2024,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-03-01,35098,13602,2478,,,818,51996
2024-25,2024,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-04-01,-8671,-10949,3267,,,94,-16260
2024-25,2024,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-05-01,-25586,8761,4283,,,-369,-12911
2024-25,2024,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-06-01,26565,14955,-973,,,1211,41757
2024-25,2024,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-07-01,32365,22363,-6189,,,257,48796
2024-25,2024,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-08-01,7320,17960,-885,0,,1098,25493
2024-25,2024,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-09-01,57724,1299,8592,22959,509,2455,93538
2024-25,2024,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-10-01,-94017,-4406,100,674,41,1250,-96358
2024-25,2024,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-11-01,-21612,1217,3034,-4287,241,-37,-21444
2024-25,2024,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-12-01,15446,3755,-859,9616,-612,-1408,25938
2024-25,2025,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-01-01,-78027,-3424,-4197,8192,39,206,-77211
2024-25,2025,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-02-01,-34574,-5508,1531,14494,74,-318,-24301
2024-25,2025,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2025-03-01,-3973,9711,-966,29044,-820,-15,32981
